podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,12,12,0.2,0.25,0.2,2,3792,2.155,4.279,0.329,3555,3.195,4.481,0.345,2396,0.422,6.760,0.520,4877,5.382,3.286,0.253
900,12,12,0.2,0.25,0.2,2,2175,2.907,7.134,0.549,2963,3.107,5.238,0.403,2575,0.507,5.939,0.457,2815,2.693,5.537,0.426
900,12,12,0.2,0.25,0.2,2,2815,0.467,6.223,0.479,1894,0.946,9.385,0.722,1684,0.417,10.619,0.817,1773,1.173,9.850,0.758
900,12,12,0.2,0.25,0.2,2,3354,1.756,5.779,0.445,3251,0.490,6.007,0.462,2428,0.499,7.938,0.611,3619,1.448,5.327,0.410
900,12,12,0.2,0.25,0.2,2,2962,2.392,6.477,0.498,3679,2.971,5.251,0.404,2490,0.533,7.461,0.574,2770,2.472,6.872,0.529
900,12,12,0.2,0.25,0.2,2,1932,2.090,7.991,0.615,3089,4.093,5.106,0.393,1643,0.318,9.522,0.732,2666,3.065,5.889,0.453
900,12,12,0.2,0.25,0.2,2,1669,0.861,9.982,0.768,1552,0.733,10.983,0.845,1653,0.390,10.070,0.775,1414,0.937,11.715,0.901
900,12,12,0.2,0.25,0.2,2,1687,0.485,9.720,0.748,2336,2.765,7.028,0.541,1694,0.390,9.850,0.758,1985,0.719,8.403,0.646
900,12,12,0.2,0.25,0.2,2,1997,2.021,7.964,0.613,1948,1.454,7.985,0.614,1686,0.392,9.166,0.705,2730,0.454,5.605,0.431
900,12,12,0.2,0.25,0.2,2,2013,1.647,7.687,0.591,1915,1.230,8.185,0.630,1625,0.341,9.543,0.734,1810,1.748,8.622,0.663
900,12,12,0.2,0.25,0.2,3,5870,4.384,4.002,0.308,5183,3.024,4.377,0.337,3690,0.504,6.248,0.481,4872,1.774,4.745,0.365
900,12,12,0.2,0.25,0.2,3,3102,0.612,7.443,0.573,3152,2.420,7.394,0.569,3791,0.578,7.123,0.548,3908,3.907,5.849,0.450
900,12,12,0.2,0.25,0.2,3,3062,1.379,8.622,0.663,3049,1.229,8.614,0.663,5385,0.746,4.877,0.375,2702,1.173,9.720,0.748
900,12,12,0.2,0.25,0.2,3,6467,3.029,4.433,0.341,4579,1.758,6.208,0.478,3658,0.630,7.781,0.599,4997,2.716,5.752,0.442
900,12,12,0.2,0.25,0.2,3,4422,2.427,6.679,0.514,3204,1.758,9.216,0.709,3723,0.545,7.931,0.610,5300,2.171,5.411,0.416
900,12,12,0.2,0.25,0.2,3,3512,0.888,6.691,0.515,2688,1.167,8.722,0.671,2411,0.340,9.694,0.746,2511,1.593,9.239,0.711
900,12,12,0.2,0.25,0.2,3,4346,2.259,5.746,0.442,2262,0.893,11.054,0.850,2433,0.347,10.600,0.815,2152,0.964,11.712,0.901
900,12,12,0.2,0.25,0.2,3,3139,2.180,7.895,0.607,2421,1.622,10.438,0.803,2475,0.342,10.647,0.819,3257,0.687,7.803,0.600
900,12,12,0.2,0.25,0.2,3,2616,1.619,8.949,0.688,3070,1.847,7.665,0.590,2578,0.343,9.094,0.700,3265,2.334,7.173,0.552
900,12,12,0.2,0.25,0.2,3,2566,1.142,9.040,0.695,2543,1.219,9.064,0.697,2842,0.412,7.820,0.602,2301,1.781,10.261,0.789
900,12,12,0.2,0.25,0.2,4,6163,0.320,5.036,0.387,6320,4.484,4.902,0.377,4809,0.546,6.471,0.498,9181,6.049,3.381,0.260
900,12,12,0.2,0.25,0.2,4,5281,0.758,5.894,0.453,6546,3.683,4.756,0.366,5100,0.585,6.119,0.471,6140,3.292,5.069,0.390
900,12,12,0.2,0.25,0.2,4,3988,2.290,7.680,0.591,3989,1.507,8.550,0.658,7107,0.817,4.851,0.373,3479,1.159,10.114,0.778
900,12,12,0.2,0.25,0.2,4,6019,1.960,6.513,0.501,6516,1.031,5.967,0.459,4772,0.527,8.988,0.691,5983,1.298,6.585,0.507
900,12,12,0.2,0.25,0.2,4,8574,4.067,4.448,0.342,3666,1.706,10.373,0.798,4738,0.473,8.037,0.618,6187,3.034,6.180,0.475
900,12,12,0.2,0.25,0.2,4,3613,1.576,8.586,0.660,5184,2.012,5.984,0.460,3227,0.317,9.783,0.753,4435,2.337,7.061,0.543
900,12,12,0.2,0.25,0.2,4,3192,1.204,10.520,0.809,2844,0.850,11.529,0.887,3190,0.348,10.411,0.801,3066,1.355,10.984,0.845
900,12,12,0.2,0.25,0.2,4,5902,0.638,5.583,0.429,3734,0.509,8.942,0.688,3340,0.413,10.023,0.771,3726,0.816,9.069,0.698
900,12,12,0.2,0.25,0.2,4,4031,1.212,7.649,0.588,5885,1.864,5.183,0.399,3302,0.381,9.429,0.725,3936,1.958,7.967,0.613
900,12,12,0.2,0.25,0.2,4,3961,0.588,7.826,0.602,3655,2.287,8.244,0.634,3677,0.379,8.366,0.644,3280,1.952,9.472,0.729
900,12,12,0.2,0.25,0.5,2,3205,1.409,4.846,0.373,3217,2.139,4.981,0.383,2509,0.490,6.265,0.482,4299,1.002,3.727,0.287
900,12,12,0.2,0.25,0.5,2,3679,3.259,4.218,0.324,3062,3.210,5.011,0.385,2609,0.536,5.977,0.460,2358,2.408,6.610,0.508
900,12,12,0.2,0.25,0.5,2,1821,1.455,9.627,0.741,2262,1.393,8.002,0.616,3501,0.806,4.968,0.382,2630,2.956,6.781,0.522
