podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,10,12,0.10,0.25,0.2,2,2484,1.999,6.698,0.515,2170,2.680,7.627,0.587,2585,0.836,6.454,0.496,1541,1.206,10.561,0.812
800,10,12,0.10,0.25,0.2,2,2756,2.161,6.588,0.507,1921,1.420,9.399,0.723,3808,0.932,4.582,0.352,2023,2.310,8.998,0.692
800,10,12,0.10,0.25,0.2,2,2169,1.981,8.714,0.670,1592,1.392,11.819,0.909,1820,0.509,9.076,0.698,1543,1.180,12.197,0.938
800,10,12,0.10,0.25,0.2,2,1990,2.006,9.162,0.705,1974,1.958,9.444,0.726,1882,0.480,9.778,0.752,2087,1.790,8.731,0.672
800,10,12,0.10,0.25,0.2,2,2448,1.680,7.208,0.554,3580,0.916,5.066,0.390,1897,0.411,9.305,0.716,1896,2.099,9.307,0.716
800,10,12,0.10,0.25,0.2,2,2170,1.568,7.582,0.583,1624,1.558,10.042,0.772,1846,0.496,8.856,0.681,1735,1.164,9.355,0.720
800,10,12,0.10,0.25,0.2,2,2104,1.099,9.498,0.731,1829,0.817,11.059,0.851,2715,0.711,7.359,0.566,1705,0.878,11.709,0.901
800,10,12,0.10,0.25,0.2,2,2219,1.333,10.039,0.772,1728,1.453,13.002,1.000,2804,0.758,7.979,0.614,2004,1.100,11.387,0.876
800,10,12,0.10,0.25,0.2,2,3276,2.527,5.569,0.428,2148,1.297,8.493,0.653,2666,0.585,6.836,0.526,1818,1.289,9.728,0.748
800,10,12,0.10,0.25,0.2,2,2606,3.327,6.448,0.496,2790,3.937,6.012,0.462,1733,0.446,9.475,0.729,3281,2.034,5.006,0.385
800,10,12,0.10,0.25,0.2,3,2389,1.660,10.663,0.820,2510,2.393,9.738,0.749,2672,0.472,9.260,0.712,2179,1.785,11.319,0.871
800,10,12,0.10,0.25,0.2,3,4157,3.388,6.421,0.494,3572,1.863,7.447,0.573,2753,0.425,9.834,0.756,3600,1.897,7.521,0.579
800,10,12,0.10,0.25,0.2,3,2713,1.618,8.952,0.689,2477,1.382,11.299,0.869,2743,0.451,10.202,0.785,2608,1.751,10.732,0.826
800,10,12,0.10,0.25,0.2,3,3557,1.697,8.002,0.616,3676,2.162,7.303,0.562,2965,0.490,9.504,0.731,3045,2.003,9.235,0.710
800,10,12,0.10,0.25,0.2,3,3720,1.831,7.327,0.564,2602,1.911,10.278,0.791,2589,0.470,10.461,0.805,3002,1.725,9.098,0.700
800,10,12,0.10,0.25,0.2,3,3276,1.818,7.286,0.560,2379,1.928,10.414,0.801,2646,0.501,9.408,0.724,2397,0.949,10.337,0.795
800,10,12,0.10,0.25,0.2,3,3829,1.391,7.851,0.604,2694,0.833,9.692,0.746,2687,0.474,11.219,0.863,2930,0.948,10.247,0.788
800,10,12,0.10,0.25,0.2,3,3001,1.786,11.121,0.855,2559,1.571,9.745,0.750,3930,0.630,8.695,0.669,2244,0.842,15.385,1.183
800,10,12,0.10,0.25,0.2,3,4039,1.534,6.666,0.513,4160,2.185,6.539,0.503,3966,0.692,6.865,0.528,2905,2.240,9.312,0.716
800,10,12,0.10,0.25,0.2,3,3868,3.514,6.486,0.499,5210,3.373,4.793,0.369,3922,0.735,6.288,0.484,5200,3.042,4.853,0.373
800,10,12,0.10,0.25,0.2,4,3295,1.082,9.881,0.760,3455,1.396,9.632,0.741,3453,0.443,9.402,0.723,2908,1.270,11.163,0.859
800,10,12,0.10,0.25,0.2,4,5191,0.558,7.016,0.540,4198,1.319,8.744,0.673,5151,0.658,7.070,0.544,4347,1.319,8.377,0.644
800,10,12,0.10,0.25,0.2,4,3477,1.902,10.652,0.819,3332,0.609,11.044,0.850,3658,0.528,10.327,0.794,3161,0.949,11.891,0.915
800,10,12,0.10,0.25,0.2,4,3698,2.261,9.915,0.763,3604,1.782,10.199,0.785,3451,0.461,10.437,0.803,3605,1.867,9.993,0.769
800,10,12,0.10,0.25,0.2,4,3621,1.497,10.029,0.771,4126,2.200,8.807,0.677,3521,0.461,10.045,0.773,4460,2.706,8.064,0.620
800,10,12,0.10,0.25,0.2,4,4167,1.399,8.004,0.616,3252,1.040,10.259,0.789,3647,0.466,9.152,0.704,3610,1.943,9.146,0.704
800,10,12,0.10,0.25,0.2,4,3736,0.643,9.923,0.763,3657,0.662,10.973,0.844,5114,0.430,7.935,0.610,3790,0.986,10.704,0.823
800,10,12,0.10,0.25,0.2,4,4392,1.710,10.357,0.797,3651,1.704,12.309,0.947,5289,0.703,8.498,0.654,3317,1.672,13.566,1.044
800,10,12,0.10,0.25,0.2,4,4630,1.518,7.712,0.593,3498,0.918,10.162,0.782,5288,0.699,6.793,0.523,5998,2.413,5.949,0.458
800,10,12,0.10,0.25,0.2,4,5169,2.392,6.491,0.499,6645,2.822,4.940,0.380,5182,0.611,6.438,0.495,5408,3.053,6.169,0.475
800,10,12,0.10,0.25,0.5,2,1924,2.265,8.716,0.670,2068,3.203,8.112,0.624,1838,0.542,8.990,0.692,1480,1.038,11.334,0.872
800,10,12,0.10,0.25,0.5,2,1910,0.827,8.478,0.652,2362,1.751,7.687,0.591,2780,0.717,6.508,0.501,2029,2.220,8.795,0.677
800,10,12,0.10,0.25,0.5,2,1632,1.290,11.250,0.865,1636,1.214,11.502,0.885,1766,0.503,10.687,0.822,1599,0.827,11.729,0.902
800,10,12,0.10,0.25,0.5,2,1895,2.149,9.779,0.752,1982,1.908,9.192,0.707,1761,0.505,10.576,0.814,1938,0.783,9.401,0.723
800,10,12,0.10,0.25,0.5,2,2312,2.677,7.633,0.587,1822,2.599,10.054,0.773,1843,0.554,9.576,0.737,1937,1.616,9.228,0.710
800,10,12,0.10,0.25,0.5,2,1791,1.750,9.086,0.699,1693,1.215,9.768,0.751,1744,0.416,9.604,0.739,1903,1.337,8.579,0.660
800,10,12,0.10,0.25,0.5,2,2341,0.672,8.421,0.648,1715,1.879,11.655,0.897,2584,0.448,7.733,0.595,1786,0.818,10.981,0.845
800,10,12,0.10,0.25,0.5,2,2003,1.696,11.214,0.863,1797,1.698,12.597,0.969,2623,0.617,8.771,0.675,1747,1.488,12.806,0.985
800,10,12,0.10,0.25,0.5,2,3249,3.646,5.610,0.432,3077,2.370,5.867,0.451,2597,0.754,7.025,0.540,2654,1.555,6.213,0.478
800,10,12,0.10,0.25,0.5,2,2548,1.650,6.877,0.529,2563,1.782,6.543,0.503,2625,0.739,6.375,0.490,3087,3.136,5.420,0.417
800,10,12,0.10,0.25,0.5,3,2533,1.671,9.844,0.757,5047,2.261,4.889,0.376,2551,0.420,9.581,0.737,2136,1.555,11.706,0.900
