podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
800,10,12,1.00,0.25,0.2,2,1956,0.471,8.594,0.661,1980,1.154,8.456,0.650,1951,0.483,8.574,0.660,1432,1.114,11.447,0.881
800,10,12,1.00,0.25,0.2,2,2213,2.304,8.060,0.620,1853,2.211,9.798,0.754,2882,0.777,6.300,0.485,1971,0.803,9.405,0.723
800,10,12,1.00,0.25,0.2,2,2256,2.418,8.643,0.665,1564,1.605,12.074,0.929,2035,0.476,9.245,0.711,1540,1.534,12.215,0.940
800,10,12,1.00,0.25,0.2,2,1689,2.021,10.790,0.830,1974,1.866,9.216,0.709,1877,0.398,9.709,0.747,1721,1.233,10.440,0.803
800,10,12,1.00,0.25,0.2,2,2716,2.863,6.580,0.506,1411,1.546,13.013,1.001,1887,0.467,9.254,0.712,3850,1.701,4.738,0.364
800,10,12,1.00,0.25,0.2,2,1747,0.967,9.453,0.727,1783,1.419,9.395,0.723,1936,0.471,8.641,0.665,1824,1.016,9.394,0.723
800,10,12,1.00,0.25,0.2,2,2089,0.990,9.635,0.741,2058,0.893,12.653,0.973,2760,0.496,7.278,0.560,1840,0.907,10.912,0.839
800,10,12,1.00,0.25,0.2,2,2246,0.923,10.058,0.774,1736,1.460,12.688,0.976,2818,0.690,8.002,0.616,2053,1.300,10.941,0.842
800,10,12,1.00,0.25,0.2,2,2515,1.882,7.167,0.551,2347,1.441,7.774,0.598,2812,0.617,6.152,0.473,2863,1.813,6.312,0.486
800,10,12,1.00,0.25,0.2,2,2821,3.071,5.909,0.455,3636,3.282,4.375,0.337,2712,0.736,6.159,0.474,2616,3.153,6.301,0.485
800,10,12,1.00,0.25,0.2,3,2536,1.740,9.632,0.741,2536,1.554,9.640,0.742,2823,0.532,9.131,0.702,3089,0.477,7.949,0.611
800,10,12,1.00,0.25,0.2,3,3013,1.204,9.116,0.701,2790,1.475,9.703,0.746,4096,0.763,6.959,0.535,3347,2.273,8.013,0.616
800,10,12,1.00,0.25,0.2,3,2846,2.266,8.458,0.651,2422,1.358,11.931,0.918,2858,0.512,9.958,0.766,2702,1.391,10.524,0.810
800,10,12,1.00,0.25,0.2,3,2725,1.684,9.920,0.763,3967,2.595,6.929,0.533,2884,0.398,9.510,0.732,2604,2.080,10.452,0.804
800,10,12,1.00,0.25,0.2,3,3810,1.531,7.019,0.540,4888,1.326,5.578,0.429,2731,0.457,9.952,0.766,3015,2.516,8.912,0.686
800,10,12,1.00,0.25,0.2,3,2797,0.911,9.072,0.698,3067,1.576,8.087,0.622,2851,0.490,8.524,0.656,2560,1.022,9.474,0.729
800,10,12,1.00,0.25,0.2,3,3727,1.804,8.143,0.626,3178,0.667,9.554,0.735,4073,0.460,7.356,0.566,2522,1.605,12.034,0.926
800,10,12,1.00,0.25,0.2,3,3159,1.771,10.771,0.829,2566,0.874,13.263,1.020,4205,0.825,8.123,0.625,2743,1.637,12.209,0.939
800,10,12,1.00,0.25,0.2,3,4508,1.615,5.911,0.455,3320,1.195,8.026,0.617,4194,0.692,6.510,0.501,4024,3.443,6.749,0.519
800,10,12,1.00,0.25,0.2,3,3401,1.640,7.228,0.556,4250,1.677,5.842,0.449,4110,0.781,6.091,0.469,6024,2.368,4.076,0.314
800,10,12,1.00,0.25,0.2,4,3538,1.838,9.728,0.748,3257,1.727,10.201,0.785,3641,0.467,8.916,0.686,2918,1.185,11.096,0.854
800,10,12,1.00,0.25,0.2,4,3804,0.370,9.583,0.737,4429,2.464,8.058,0.620,10968,1.367,3.325,0.256,5023,2.272,7.328,0.564
800,10,12,1.00,0.25,0.2,4,4934,1.110,7.657,0.589,3292,1.236,11.308,0.870,3672,0.479,10.227,0.787,3957,2.335,9.690,0.745
800,10,12,1.00,0.25,0.2,4,4482,1.192,8.305,0.639,3424,1.205,10.544,0.811,4004,0.510,9.155,0.704,3982,2.636,9.195,0.707
800,10,12,1.00,0.25,0.2,4,5555,2.159,6.417,0.494,3944,2.248,9.114,0.701,3766,0.492,9.633,0.741,4662,2.600,7.587,0.584
800,10,12,1.00,0.25,0.2,4,4077,1.268,8.062,0.620,3454,1.292,9.535,0.733,3677,0.547,8.957,0.689,4751,1.712,6.942,0.534
800,10,12,1.00,0.25,0.2,4,4335,1.452,8.992,0.692,3749,1.116,9.597,0.738,5565,0.691,7.136,0.549,3841,1.419,10.360,0.797
