podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,10,12,1.00,0.25,0.2,2,1615,1.077,8.934,0.687,2128,1.874,7.848,0.604,1613,0.455,8.941,0.688,1597,2.299,8.750,0.673
700,10,12,1.00,0.25,0.2,2,1916,2.289,8.390,0.645,1743,0.769,9.226,0.710,2441,0.523,6.420,0.494,1766,1.417,9.110,0.701
700,10,12,1.00,0.25,0.2,2,1601,1.295,10.099,0.777,1453,1.043,11.253,0.866,1720,0.499,9.908,0.762,1498,1.387,11.296,0.869
700,10,12,1.00,0.25,0.2,2,2078,2.323,7.946,0.611,2414,1.200,6.510,0.501,1628,0.449,9.803,0.754,1608,1.855,9.840,0.757
700,10,12,1.00,0.25,0.2,2,1503,1.802,10.733,0.826,1956,2.364,8.139,0.626,1724,0.495,9.177,0.706,3377,2.873,4.696,0.361
700,10,12,1.00,0.25,0.2,2,2054,1.348,6.906,0.531,1569,0.943,9.115,0.701,1662,0.444,8.773,0.675,1450,1.917,9.865,0.759
700,10,12,1.00,0.25,0.2,2,1844,1.070,9.505,0.731,1899,1.402,9.455,0.727,2462,0.584,6.931,0.533,1621,1.264,10.891,0.838
700,10,12,1.00,0.25,0.2,2,1939,0.929,10.417,0.801,1813,1.507,11.036,0.849,3325,0.927,4.361,0.335,1568,1.043,12.703,0.977
700,10,12,1.00,0.25,0.2,2,2766,1.669,5.692,0.438,2131,0.830,7.310,0.562,2435,0.622,6.630,0.510,2411,1.176,6.532,0.502
700,10,12,1.00,0.25,0.2,2,2177,2.192,6.642,0.511,3209,1.092,4.705,0.362,2392,0.662,6.121,0.471,2382,2.830,6.146,0.473
700,10,12,1.00,0.25,0.2,3,2295,1.645,9.356,0.720,2590,0.890,8.525,0.656,2501,0.451,8.778,0.675,3152,1.342,6.956,0.535
700,10,12,1.00,0.25,0.2,3,2840,1.140,8.695,0.669,2735,1.212,8.652,0.666,3583,0.572,6.664,0.513,2709,2.177,8.845,0.680
700,10,12,1.00,0.25,0.2,3,2849,2.376,8.781,0.675,2226,1.235,11.400,0.877,2459,0.401,10.228,0.787,2320,1.537,10.455,0.804
700,10,12,1.00,0.25,0.2,3,2885,0.427,8.416,0.647,3340,2.429,7.326,0.564,2325,0.421,10.419,0.801,2375,1.688,10.311,0.793
700,10,12,1.00,0.25,0.2,3,2046,1.517,11.663,0.897,1987,1.537,11.837,0.911,2544,0.426,9.438,0.726,3304,2.884,7.058,0.543
700,10,12,1.00,0.25,0.2,3,2664,1.137,8.261,0.635,2380,1.319,9.271,0.713,2463,0.402,8.796,0.677,2675,1.183,8.136,0.626
