podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,10,12,1.0,1.0,1.0,3,2713,0.641,8.105,0.623,2208,1.638,9.702,0.746,2488,0.428,8.588,0.661,3376,2.444,6.218,0.478
700,10,14,1.0,1.0,1.0,3,3111,1.941,6.849,0.457,2552,1.637,8.559,0.571,1982,0.394,11.168,0.745,2048,0.938,10.808,0.721
700,10,16,1.0,1.0,1.0,3,2436,1.096,8.648,0.509,1604,1.06,13.136,0.773,1815,0.346,11.573,0.681,2068,1.929,10.326,0.607
700,10,18,1.0,1.0,1.0,3,2889,1.483,7.601,0.4,3541,2.671,6.201,0.326,1627,0.289,13.494,0.71,3446,1.2,6.371,0.335
700,12,12,1.0,1.0,1.0,3,3040,1.309,6.022,0.463,2579,1.671,7.08,0.545,2961,0.497,6.402,0.492,6529,2.294,2.903,0.223
700,12,14,1.0,1.0,1.0,3,4727,3.373,3.995,0.266,3210,2.176,5.883,0.392,2285,0.335,8.2,0.547,4049,3.39,4.586,0.306
700,12,16,1.0,1.0,1.0,3,2607,0.388,7.276,0.428,7063,7.017,2.661,0.157,1996,0.269,9.407,0.553,4956,4.972,3.792,0.223
700,12,18,1.0,1.0,1.0,3,2920,0.708,6.458,0.34,4161,2.45,4.532,0.239,1529,0.209,12.379,0.652,4993,2.407,3.752,0.197
800,10,12,1.0,1.0,1.0,3,3749,1.349,6.542,0.503,2650,1.176,9.373,0.721,2743,0.484,9.0,0.692,2714,2.255,9.006,0.693
800,10,14,1.0,1.0,1.0,3,2303,1.757,10.775,0.718,2535,1.785,9.528,0.635,2158,0.399,11.301,0.753,2861,2.852,8.522,0.568
800,10,16,1.0,1.0,1.0,3,2356,1.233,10.225,0.601,1849,1.151,13.03,0.766,2104,0.375,11.446,0.673,2365,1.807,10.187,0.599
800,10,18,1.0,1.0,1.0,3,2555,1.953,9.428,0.496,2596,1.241,9.278,0.488,1775,0.339,13.569,0.714,4756,4.001,5.065,0.267
800,12,12,1.0,1.0,1.0,3,4097,3.402,5.253,0.404,5295,4.08,3.917,0.301,3376,0.495,6.137,0.472,5199,2.784,3.983,0.306
800,12,14,1.0,1.0,1.0,3,4581,1.398,4.725,0.315,6221,5.275,3.479,0.232,2612,0.354,8.109,0.541,4727,2.931,4.468,0.298
800,12,16,1.0,1.0,1.0,3,4670,2.983,4.592,0.27,5327,2.488,4.042,0.238,2269,0.356,9.585,0.564,5477,5.155,3.952,0.232
800,12,18,1.0,1.0,1.0,3,4233,2.37,5.037,0.265,8501,6.935,2.509,0.132,1732,0.265,12.309,0.648,6692,4.614,3.187,0.168
900,10,12,1.0,1.0,1.0,3,3124,1.282,8.837,0.68,2583,1.272,10.662,0.82,3189,0.638,8.84,0.68,3330,1.998,8.395,0.646
900,10,14,1.0,1.0,1.0,3,6449,4.924,4.287,0.286,2310,1.057,12.042,0.803,2337,0.408,11.688,0.779,2538,2.105,10.76,0.717
900,10,16,1.0,1.0,1.0,3,3424,1.465,8.022,0.472,2456,1.366,11.184,0.658,2366,0.405,11.67,0.686,2561,1.256,10.686,0.629
900,10,18,1.0,1.0,1.0,3,2444,1.381,11.506,0.606,2571,1.693,10.941,0.576,2065,0.389,13.618,0.717,5732,3.879,4.907,0.258
900,12,12,1.0,1.0,1.0,3,3011,1.206,7.844,0.603,6729,1.44,3.528,0.271,3734,0.576,6.399,0.492,5552,4.692,4.193,0.323
900,12,14,1.0,1.0,1.0,3,8401,4.018,2.825,0.188,2982,1.479,7.959,0.531,2865,0.437,8.538,0.569,4654,1.955,5.21,0.347
900,12,16,1.0,1.0,1.0,3,5913,4.673,4.018,0.236,2889,1.389,8.438,0.496,2503,0.391,9.466,0.557,4889,1.552,4.78,0.281
900,12,18,1.0,1.0,1.0,3,2909,2.12,8.258,0.435,4539,2.803,5.351,0.282,2067,0.301,11.343,0.597,6676,3.338,3.621,0.191
1000,10,12,1.0,1.0,1.0,3,3594,2.278,8.483,0.653,2843,1.97,10.666,0.82,3555,0.633,8.572,0.659,3635,1.663,8.342,0.642
1000,10,14,1.0,1.0,1.0,3,2500,2.473,12.253,0.817,2353,1.102,12.999,0.867,2758,0.596,11.09,0.739,2506,2.325,12.204,0.814
1000,10,16,1.0,1.0,1.0,3,2552,0.959,12.495,0.735,2222,2.02,14.349,0.844,2750,0.501,11.594,0.682,2202,1.616,14.478,0.852
1000,10,18,1.0,1.0,1.0,3,2325,1.473,13.068,0.688,2266,1.213,13.404,0.705,2196,0.362,13.833,0.728,3323,2.603,9.14,0.481
1000,12,12,1.0,1.0,1.0,3,2944,0.747,9.375,0.721,4585,2.262,5.858,0.451,4216,0.548,6.38,0.491,5915,3.289,4.646,0.357
1000,12,14,1.0,1.0,1.0,3,8160,0.66,3.234,0.216,5321,5.38,4.958,0.331,3177,0.514,8.305,0.554,5841,1.038,4.577,0.305
1000,12,16,1.0,1.0,1.0,3,4508,1.775,6.103,0.359,5192,1.066,5.062,0.298,2812,0.449,9.723,0.572,5265,3.289,5.101,0.3
1000,12,18,1.0,1.0,1.0,3,5608,3.422,4.791,0.252,2860,1.995,9.609,0.506,2379,0.359,11.551,0.608,4306,3.682,6.213,0.327
1100,10,12,1.0,1.0,1.0,3,3597,1.667,9.527,0.733,2992,1.266,11.334,0.872,3810,0.728,8.757,0.674,3144,2.122,10.911,0.839
1100,10,14,1.0,1.0,1.0,3,3638,0.54,9.612,0.641,2662,1.754,13.138,0.876,3110,0.606,11.244,0.75,3035,1.666,11.521,0.768
1100,10,16,1.0,1.0,1.0,3,2699,2.051,12.436,0.732,2557,2.043,13.125,0.772,2876,0.546,11.671,0.687,2769,1.907,12.123,0.713
1100,10,18,1.0,1.0,1.0,3,2531,1.787,13.189,0.694,2491,2.211,13.399,0.705,2450,0.435,13.621,0.717,3145,2.679,10.611,0.558
1100,12,12,1.0,1.0,1.0,3,7180,6.893,4.127,0.317,5002,2.722,5.871,0.452,4580,0.728,6.363,0.489,5168,2.341,5.731,0.441
1100,12,14,1.0,1.0,1.0,3,4589,1.972,6.454,0.43,7117,2.566,4.161,0.277,3582,0.574,8.268,0.551,5514,3.342,5.41,0.361
1100,12,16,1.0,1.0,1.0,3,4290,3.159,6.767,0.398,3965,1.769,7.388,0.435,3089,0.411,9.403,0.553,5652,3.644,5.139,0.302
1100,12,18,1.0,1.0,1.0,3,4055,0.454,7.218,0.38,5322,2.826,5.281,0.278,2323,0.332,12.599,0.663,6614,3.912,4.426,0.233
