level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,12,0.5000000000000000000000000,412,15.925,6.099,0.469,295,11.374,8.539,0.657,285,9.919,8.831,0.679,297,11.456,8.478,0.652
5,12,0.5000000000000000000000000,373,16.550,5.869,0.451,266,11.806,8.227,0.633,232,10.314,9.416,0.724,255,11.329,8.573,0.659
5,12,0.5000000000000000000000000,347,17.639,5.517,0.424,224,11.381,8.534,0.656,218,11.086,8.761,0.674,223,11.348,8.558,0.658
5,12,0.5000000000000000000000000,326,13.134,7.311,0.562,268,10.771,9.017,0.694,271,10.911,8.902,0.685,266,10.719,9.061,0.697
5,12,0.5000000000000000000000000,500,16.549,5.869,0.451,342,11.321,8.579,0.660,325,9.967,9.031,0.695,380,12.591,7.714,0.593
5,12,0.5000000000000000000000000,318,12.974,7.577,0.583,276,11.283,8.608,0.662,299,12.224,8.975,0.690,275,11.242,8.640,0.665
5,12,0.5000000000000000000000000,487,16.545,5.870,0.452,307,10.430,9.312,0.716,364,12.354,7.862,0.605,329,11.167,8.698,0.669
5,12,0.5000000000000000000000000,343,15.546,6.247,0.481,228,10.343,9.390,0.722,251,11.917,8.547,0.657,242,10.979,8.846,0.680
5,12,0.5000000000000000000000000,273,15.978,5.837,0.449,187,10.898,8.912,0.686,181,10.583,9.178,0.706,186,10.869,8.936,0.687
5,12,0.5000000000000000000000000,348,13.923,6.976,0.537,270,10.819,8.977,0.691,266,10.653,9.117,0.701,253,10.135,9.583,0.737
