level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,20,0.2500000000000000000000000,138,4.794,8.442,0.402,128,4.465,9.063,0.432,106,3.676,11.009,0.524,118,4.156,9.859,0.469
4,20,0.2500000000000000000000000,146,4.831,9.094,0.433,105,3.485,11.612,0.553,92,3.046,13.285,0.633,114,3.763,10.754,0.512
4,20,0.2500000000000000000000000,82,4.732,8.552,0.407,76,4.383,9.233,0.440,61,3.522,11.490,0.547,75,4.297,9.418,0.448
4,20,0.2500000000000000000000000,132,4.586,8.824,0.420,106,3.694,10.955,0.522,85,2.969,13.631,0.649,100,3.377,11.562,0.551
4,20,0.2500000000000000000000000,126,4.485,9.024,0.430,121,4.311,9.386,0.447,115,4.070,9.944,0.474,116,4.086,9.830,0.468
4,20,0.2500000000000000000000000,116,4.407,9.184,0.437,82,3.109,13.453,0.641,94,3.561,11.364,0.541,85,3.232,12.523,0.596
4,20,0.2500000000000000000000000,59,3.502,11.554,0.550,56,3.312,12.218,0.582,60,3.581,11.301,0.538,63,3.754,10.780,0.513
4,20,0.2500000000000000000000000,127,4.761,8.500,0.405,87,3.217,12.381,0.590,103,3.835,10.551,0.502,112,4.180,9.680,0.461
4,20,0.2500000000000000000000000,104,3.984,10.159,0.484,113,4.305,9.401,0.448,103,3.922,10.325,0.492,97,3.703,10.927,0.520
4,20,0.2500000000000000000000000,116,3.971,9.925,0.473,124,4.405,9.546,0.455,117,3.988,10.147,0.483,106,3.629,11.151,0.531
