level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,20,1.0000000000000000000000000,1842,104.355,4.964,0.236,1446,81.902,6.325,0.301,1565,88.694,5.840,0.278,1417,80.290,6.452,0.307
7,20,1.0000000000000000000000000,3891,137.497,3.849,0.183,2738,94.706,5.470,0.260,2010,69.538,7.449,0.355,2773,95.937,5.399,0.257
7,20,1.0000000000000000000000000,2147,103.767,4.992,0.238,2038,98.496,5.259,0.250,1773,85.699,6.044,0.288,2038,98.485,5.260,0.250
7,20,1.0000000000000000000000000,2039,92.933,5.574,0.265,2100,95.738,5.411,0.258,1926,87.797,5.900,0.281,1866,85.049,6.091,0.290
7,20,1.0000000000000000000000000,1947,110.383,4.693,0.223,1683,95.423,5.428,0.258,1650,93.582,5.535,0.264,1616,91.616,5.654,0.269
7,20,1.0000000000000000000000000,2755,116.571,4.444,0.212,1630,68.950,7.513,0.358,2066,87.416,5.926,0.282,1781,75.362,6.873,0.327
7,20,1.0000000000000000000000000,2645,109.744,4.720,0.225,2381,98.767,5.245,0.250,2091,86.733,5.972,0.284,1935,80.292,6.451,0.307
7,20,1.0000000000000000000000000,1956,104.591,4.953,0.236,1789,95.658,5.415,0.258,1821,97.369,5.320,0.253,1631,87.174,5.942,0.283
7,20,1.0000000000000000000000000,2672,118.495,4.371,0.208,2300,102.000,5.078,0.242,2219,98.427,5.263,0.251,2298,101.932,5.082,0.242
7,20,1.0000000000000000000000000,3051,103.581,5.001,0.238,2128,72.261,7.168,0.341,2842,96.510,5.367,0.256,2932,99.559,5.203,0.248
