level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,12,0.2500000000000000000000000,181,8.174,12.204,0.939,162,7.323,13.263,1.020,156,7.025,13.825,1.063,158,7.157,13.938,1.072
5,12,0.2500000000000000000000000,159,9.141,10.625,0.817,135,7.759,12.517,0.963,126,7.222,13.448,1.034,127,7.319,13.270,1.021
5,12,0.2500000000000000000000000,281,9.883,9.827,0.756,221,7.792,12.465,0.959,212,7.459,13.021,1.002,217,7.629,12.731,0.979
5,12,0.2500000000000000000000000,161,9.596,10.121,0.779,117,6.975,13.925,1.071,125,7.422,13.086,1.007,120,7.125,13.632,1.049
5,12,0.2500000000000000000000000,230,8.603,11.290,0.868,195,7.300,13.305,1.023,197,7.367,13.283,1.022,216,8.065,12.043,0.926
5,12,0.2500000000000000000000000,278,9.384,10.350,0.796,220,7.442,13.051,1.004,237,8.001,12.139,0.934,214,7.248,13.400,1.031
5,12,0.2500000000000000000000000,201,9.574,10.144,0.780,151,7.202,13.487,1.037,164,7.803,12.447,0.957,154,7.337,13.238,1.018
5,12,0.2500000000000000000000000,254,9.050,10.732,0.826,220,7.813,12.374,0.952,204,7.271,13.357,1.027,207,7.377,13.166,1.013
5,12,0.2500000000000000000000000,263,8.715,11.144,0.857,233,8.243,12.537,0.964,229,7.595,12.788,0.984,213,7.083,13.713,1.055
5,12,0.2500000000000000000000000,279,8.599,11.294,0.869,229,7.050,13.777,1.060,208,6.400,15.175,1.167,212,6.512,14.914,1.147
