level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,8,4.0000000000000000000000000,4975,257.426,0.880,0.098,4346,224.908,1.008,0.112,3839,198.671,1.141,0.127,4839,250.414,0.905,0.101
6,8,4.0000000000000000000000000,7946,275.131,0.824,0.092,6245,216.234,1.048,0.116,6415,222.101,1.020,0.113,6640,229.897,0.986,0.110
6,8,4.0000000000000000000000000,7937,272.063,0.833,0.093,6866,235.367,0.963,0.107,6197,212.437,1.067,0.119,5960,204.288,1.109,0.123
6,8,4.0000000000000000000000000,6334,211.896,1.070,0.119,6061,202.734,1.118,0.124,6604,220.923,1.026,0.114,6204,207.520,1.092,0.121
6,8,4.0000000000000000000000000,6837,321.968,0.704,0.078,5816,273.862,0.828,0.092,4585,215.900,1.050,0.117,4560,214.737,1.055,0.117
6,8,4.0000000000000000000000000,5542,213.113,1.063,0.118,6299,242.244,0.936,0.104,5742,220.838,1.026,0.114,6389,245.714,0.922,0.102
6,8,4.0000000000000000000000000,6175,264.787,0.856,0.095,4961,212.717,1.065,0.118,4786,205.227,1.104,0.123,5106,218.924,1.035,0.115
6,8,4.0000000000000000000000000,4428,251.310,0.902,0.100,4456,252.909,0.896,0.100,4214,239.167,0.948,0.105,3774,214.173,1.058,0.118
6,8,4.0000000000000000000000000,5887,234.347,0.967,0.107,5102,203.105,1.116,0.124,4561,181.571,1.248,0.139,5048,200.964,1.128,0.125
6,8,4.0000000000000000000000000,5305,241.681,0.938,0.104,4486,202.595,1.109,0.123,3811,173.625,1.305,0.145,3948,179.868,1.260,0.140
