level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,12,2.0000000000000000000000000,2448,113.926,1.989,0.153,1706,79.366,2.855,0.220,1990,92.610,2.447,0.188,1699,79.052,2.867,0.221
6,12,2.0000000000000000000000000,3413,134.158,1.689,0.130,2284,89.772,2.524,0.194,1855,72.905,3.108,0.239,2200,86.475,2.621,0.202
6,12,2.0000000000000000000000000,2698,132.541,1.710,0.132,1595,78.362,2.892,0.222,1853,91.001,2.490,0.192,1618,79.488,2.851,0.219
6,12,2.0000000000000000000000000,2686,137.756,1.645,0.127,1454,74.555,3.040,0.234,1621,85.801,2.726,0.210,1729,88.688,2.555,0.197
6,12,2.0000000000000000000000000,2477,113.113,2.004,0.154,1917,87.555,2.588,0.199,1612,73.608,3.079,0.237,1885,86.104,2.632,0.202
6,12,2.0000000000000000000000000,1701,103.814,2.183,0.168,1830,111.661,2.030,0.156,1514,92.387,2.453,0.189,1344,82.009,2.763,0.213
6,12,2.0000000000000000000000000,4002,136.904,1.655,0.127,2484,84.969,2.667,0.205,2098,71.781,3.157,0.243,2482,84.919,2.669,0.205
6,12,2.0000000000000000000000000,3754,139.184,1.628,0.125,2352,87.189,2.599,0.200,2121,78.636,2.882,0.222,2146,79.559,2.848,0.219
6,12,2.0000000000000000000000000,2160,106.665,2.125,0.163,1680,82.931,2.733,0.210,1663,82.101,2.760,0.212,1693,83.594,2.711,0.209
6,12,2.0000000000000000000000000,1900,96.331,2.353,0.181,1345,68.203,3.323,0.256,1637,82.998,2.730,0.210,1368,69.362,3.267,0.251
