level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,16,1.0000000000000000000000000,2865,144.748,3.579,0.211,1653,81.053,6.200,0.365,1620,81.886,6.326,0.372,1815,91.699,5.649,0.332
7,16,1.0000000000000000000000000,2526,131.701,3.933,0.231,1684,87.819,5.898,0.347,1564,81.562,6.351,0.374,1541,80.343,6.447,0.379
7,16,1.0000000000000000000000000,2344,116.745,4.437,0.261,2002,99.710,5.195,0.306,1526,75.986,6.817,0.401,2003,99.735,5.194,0.306
7,16,1.0000000000000000000000000,2510,123.786,4.185,0.246,1956,96.468,5.370,0.316,1604,79.098,6.549,0.385,1971,97.211,5.329,0.313
7,16,1.0000000000000000000000000,2754,118.103,4.386,0.258,2006,86.026,6.021,0.354,2354,100.965,5.130,0.302,2449,105.015,4.933,0.290
7,16,1.0000000000000000000000000,4029,148.372,3.491,0.205,2579,95.001,5.453,0.321,2451,90.285,5.737,0.337,2251,82.912,6.248,0.368
7,16,1.0000000000000000000000000,2426,134.822,3.842,0.226,1665,92.563,5.596,0.329,1359,75.547,6.857,0.403,1337,74.310,6.810,0.401
7,16,1.0000000000000000000000000,1892,100.203,5.088,0.299,1691,89.601,5.781,0.340,1614,85.497,6.059,0.356,1346,71.296,7.265,0.427
7,16,1.0000000000000000000000000,2560,150.059,3.452,0.203,1342,78.677,6.584,0.387,1291,75.679,6.845,0.403,1521,89.137,5.937,0.349
7,16,1.0000000000000000000000000,3687,126.647,4.090,0.241,2065,70.925,7.303,0.430,2457,84.407,6.137,0.361,2405,82.615,6.270,0.369
