level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,20,0.5000000000000000000000000,430,27.167,8.342,0.397,285,18.004,12.588,0.599,329,20.781,10.905,0.519,373,23.554,9.621,0.458
6,20,0.5000000000000000000000000,764,23.021,9.067,0.432,634,20.741,10.927,0.520,514,16.816,13.477,0.642,622,20.329,11.148,0.531
6,20,0.5000000000000000000000000,562,26.757,8.470,0.403,396,18.881,12.003,0.572,437,20.794,10.898,0.519,363,17.299,13.100,0.624
6,20,0.5000000000000000000000000,822,30.750,7.370,0.351,416,15.565,14.560,0.693,548,20.508,11.051,0.526,416,15.565,14.560,0.693
6,20,0.5000000000000000000000000,816,30.239,7.495,0.357,556,20.616,10.992,0.523,615,22.804,9.938,0.473,621,23.027,9.842,0.469
6,20,0.5000000000000000000000000,911,31.302,7.240,0.345,571,19.618,11.552,0.550,616,21.173,10.704,0.510,609,20.935,10.825,0.515
6,20,0.5000000000000000000000000,788,34.240,6.619,0.315,491,21.352,10.614,0.505,485,21.078,10.752,0.512,491,21.335,10.622,0.506
6,20,0.5000000000000000000000000,815,28.450,7.966,0.379,586,20.450,11.082,0.528,680,23.742,9.545,0.455,586,20.450,11.082,0.528
6,20,0.5000000000000000000000000,568,25.523,8.879,0.423,346,15.567,14.558,0.693,531,23.844,9.505,0.453,361,16.225,13.968,0.665
6,20,0.5000000000000000000000000,808,28.393,7.982,0.380,474,16.655,13.607,0.648,652,22.886,9.902,0.472,450,15.800,14.343,0.683
