level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,16,0.2500000000000000000000000,128,6.088,6.647,0.391,103,4.893,8.271,0.487,62,2.981,13.575,0.799,95,4.534,8.926,0.525
4,16,0.2500000000000000000000000,101,5.358,7.553,0.444,76,4.013,10.085,0.593,67,3.531,11.461,0.674,81,3.953,9.429,0.555
4,16,0.2500000000000000000000000,111,5.495,7.365,0.433,91,4.500,9.181,0.540,64,3.174,12.750,0.750,91,4.487,9.018,0.530
4,16,0.2500000000000000000000000,92,5.034,7.522,0.442,55,3.201,12.643,0.744,51,3.002,14.844,0.873,53,3.102,13.053,0.768
4,16,0.2500000000000000000000000,114,4.959,8.161,0.480,88,3.825,10.580,0.622,86,3.727,10.857,0.639,91,3.942,10.267,0.604
4,16,0.2500000000000000000000000,119,4.774,8.460,0.498,109,4.371,9.258,0.545,104,4.201,9.722,0.572,104,4.208,9.617,0.566
4,16,0.2500000000000000000000000,159,5.212,7.764,0.457,138,4.545,8.905,0.524,86,2.813,14.385,0.846,120,3.935,10.285,0.605
4,16,0.2500000000000000000000000,80,4.996,8.138,0.479,62,3.918,10.494,0.617,49,3.069,13.384,0.787,63,3.910,10.351,0.609
4,16,0.2500000000000000000000000,126,4.817,8.401,0.494,102,3.891,10.400,0.612,81,3.084,13.114,0.771,105,3.774,10.079,0.593
4,16,0.2500000000000000000000000,96,5.325,7.600,0.447,63,3.487,11.606,0.683,67,3.698,10.945,0.644,82,4.527,8.938,0.526
