level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,8,2.0000000000000000000000000,795,44.783,2.169,0.241,931,53.844,1.804,0.200,774,44.769,2.169,0.241,867,50.169,1.936,0.215
5,8,2.0000000000000000000000000,1298,65.125,1.491,0.166,874,43.837,2.216,0.246,1004,50.375,1.928,0.214,1010,50.696,2.275,0.253
5,8,2.0000000000000000000000000,1614,57.356,1.693,0.188,1292,45.922,2.115,0.235,1247,44.317,2.192,0.244,1267,45.043,2.156,0.240
5,8,2.0000000000000000000000000,1809,65.726,1.478,0.164,1261,45.820,2.120,0.236,1249,45.374,2.141,0.238,1299,47.214,2.167,0.241
5,8,2.0000000000000000000000000,1158,68.787,1.548,0.172,816,48.476,2.004,0.223,804,47.761,2.034,0.226,964,57.267,1.696,0.188
5,8,2.0000000000000000000000000,893,57.494,1.689,0.188,757,48.751,1.992,0.221,749,48.251,2.013,0.224,705,45.380,2.140,0.238
5,8,2.0000000000000000000000000,1709,74.251,1.308,0.145,1300,56.487,1.816,0.202,1052,45.704,2.125,0.236,1317,57.228,1.815,0.202
5,8,2.0000000000000000000000000,1595,70.855,1.371,0.152,1155,51.327,1.892,0.210,1084,48.169,2.016,0.224,1042,46.310,2.097,0.233
5,8,2.0000000000000000000000000,2080,69.099,1.519,0.169,1470,48.844,1.988,0.221,1282,42.575,2.281,0.253,1331,44.207,2.197,0.244
5,8,2.0000000000000000000000000,822,30.266,3.209,0.357,1188,43.736,2.221,0.247,1085,39.580,2.433,0.270,1183,43.553,2.230,0.248
