level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,8,0.5000000000000000000000000,221,10.066,4.020,0.447,140,6.369,6.354,0.706,156,7.125,5.680,0.631,180,8.222,4.922,0.547
4,8,0.5000000000000000000000000,203,10.480,4.585,0.509,156,7.700,5.010,0.557,137,7.066,5.727,0.636,153,7.908,5.117,0.569
4,8,0.5000000000000000000000000,261,9.482,4.268,0.474,196,7.028,5.667,0.630,178,6.462,6.262,0.696,223,8.130,4.978,0.553
4,8,0.5000000000000000000000000,281,9.230,4.384,0.487,194,6.365,6.358,0.706,209,6.870,5.890,0.654,211,6.388,5.843,0.649
4,8,0.5000000000000000000000000,212,8.809,4.594,0.510,163,6.749,5.997,0.666,172,7.138,5.669,0.630,207,8.599,4.706,0.523
4,8,0.5000000000000000000000000,157,9.390,4.310,0.479,121,7.237,5.592,0.621,126,7.524,5.378,0.598,107,6.381,6.342,0.705
4,8,0.5000000000000000000000000,193,10.147,3.988,0.443,122,6.401,6.322,0.702,138,7.227,5.600,0.622,125,6.563,6.167,0.685
4,8,0.5000000000000000000000000,174,9.261,3.762,0.418,102,6.313,6.440,0.716,114,7.044,5.745,0.638,108,6.688,6.051,0.672
4,8,0.5000000000000000000000000,242,7.781,5.201,0.578,217,6.996,5.785,0.643,210,6.748,5.997,0.666,222,7.157,5.655,0.628
4,8,0.5000000000000000000000000,240,8.026,5.042,0.560,203,6.800,5.304,0.589,184,6.157,6.573,0.730,193,6.461,6.264,0.696
