level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,20,2.0000000000000000000000000,1354,72.996,3.105,0.148,1703,91.786,2.469,0.118,1584,85.405,2.654,0.126,1702,91.761,2.470,0.118
6,20,2.0000000000000000000000000,1894,119.635,1.894,0.090,1269,80.122,2.828,0.135,1048,66.174,3.425,0.163,1244,78.546,2.885,0.137
6,20,2.0000000000000000000000000,2161,100.968,2.245,0.107,1557,72.760,3.115,0.148,1758,82.148,2.759,0.131,1430,66.807,3.392,0.162
6,20,2.0000000000000000000000000,1283,82.970,2.702,0.129,931,60.164,3.767,0.179,1254,81.072,2.795,0.133,931,60.164,3.767,0.179
6,20,2.0000000000000000000000000,1993,84.433,2.635,0.125,1857,80.100,2.829,0.135,2091,90.203,2.512,0.120,2078,89.647,2.528,0.120
6,20,2.0000000000000000000000000,2887,107.808,2.102,0.100,2028,75.741,2.992,0.142,2240,83.658,2.709,0.129,2177,81.319,2.787,0.133
6,20,2.0000000000000000000000000,1847,113.611,1.995,0.095,1352,83.163,2.725,0.130,1355,83.329,2.720,0.130,1352,83.146,2.726,0.130
6,20,2.0000000000000000000000000,1486,89.262,2.539,0.121,1316,79.076,2.866,0.136,1565,94.019,2.410,0.115,1316,79.076,2.866,0.136
6,20,2.0000000000000000000000000,1969,84.309,2.688,0.128,1395,59.742,3.793,0.181,2204,94.372,2.401,0.114,1395,59.742,3.793,0.181
6,20,2.0000000000000000000000000,2904,102.011,2.222,0.106,1677,58.905,3.847,0.183,2577,90.503,2.504,0.119,1677,58.905,3.847,0.183
