level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,8,0.2500000000000000000000000,174,5.856,6.911,0.768,125,4.194,9.946,1.105,131,4.394,9.209,1.023,156,5.257,7.698,0.855
4,8,0.2500000000000000000000000,217,7.071,5.723,0.636,155,5.061,7.996,0.888,145,4.711,8.591,0.955,161,5.240,7.724,0.858
4,8,0.2500000000000000000000000,175,6.110,6.624,0.736,133,4.645,8.712,0.968,133,4.630,8.740,0.971,129,4.506,8.980,0.998
4,8,0.2500000000000000000000000,88,4.990,8.110,0.901,72,4.054,9.983,1.109,74,4.204,9.626,1.070,75,4.225,9.579,1.064
4,8,0.2500000000000000000000000,98,6.229,6.497,0.722,70,4.417,9.162,1.018,68,4.318,9.371,1.041,70,4.381,9.168,1.019
4,8,0.2500000000000000000000000,153,5.110,7.848,0.872,123,4.097,9.877,1.097,130,4.350,9.220,1.024,126,4.215,9.600,1.067
4,8,0.2500000000000000000000000,138,6.476,6.249,0.694,91,4.256,9.509,1.057,92,4.294,9.425,1.047,89,4.180,10.002,1.111
4,8,0.2500000000000000000000000,178,7.291,5.576,0.620,108,4.424,9.571,1.063,106,4.361,9.279,1.031,107,4.401,9.195,1.022
4,8,0.2500000000000000000000000,146,4.696,8.617,0.957,139,4.473,9.047,1.005,123,3.964,10.210,1.134,127,4.085,9.907,1.101
4,8,0.2500000000000000000000000,100,5.413,7.476,0.831,84,4.554,8.887,0.987,73,3.961,10.216,1.135,96,5.213,7.763,0.863
