level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,16,1.0000000000000000000000000,334,17.489,2.314,0.136,305,15.982,2.532,0.149,257,13.469,3.086,0.182,302,15.818,2.558,0.150
4,16,1.0000000000000000000000000,372,14.568,2.778,0.163,355,13.899,2.912,0.171,328,12.819,3.157,0.186,379,14.844,2.726,0.160
4,16,1.0000000000000000000000000,349,16.223,2.494,0.147,351,16.611,2.486,0.146,299,13.882,2.915,0.171,362,16.830,2.405,0.141
4,16,1.0000000000000000000000000,444,18.424,2.197,0.129,295,12.232,3.308,0.195,280,11.609,3.486,0.205,331,13.732,2.947,0.173
4,16,1.0000000000000000000000000,407,16.767,2.414,0.142,327,13.466,3.005,0.177,369,15.188,2.664,0.157,342,14.080,2.874,0.169
4,16,1.0000000000000000000000000,363,14.310,2.828,0.166,404,15.939,2.539,0.149,281,11.091,3.649,0.215,340,13.405,3.019,0.178
4,16,1.0000000000000000000000000,253,15.281,2.648,0.156,257,15.519,2.608,0.153,185,11.168,3.624,0.213,242,14.632,2.766,0.163
4,16,1.0000000000000000000000000,383,15.361,2.647,0.156,315,12.617,3.208,0.189,342,13.709,2.952,0.174,287,11.500,3.519,0.207
4,16,1.0000000000000000000000000,347,13.241,3.056,0.180,287,10.959,3.693,0.217,281,10.749,3.765,0.221,339,12.941,3.125,0.184
4,16,1.0000000000000000000000000,466,15.903,2.545,0.150,358,12.223,3.311,0.195,394,13.459,3.007,0.177,445,15.193,2.664,0.157
