level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,8,0.5000000000000000000000000,3658,128.534,4.030,0.448,2534,89.049,5.817,0.646,2477,87.049,5.951,0.661,4220,148.260,3.494,0.388
7,8,0.5000000000000000000000000,3454,124.426,4.163,0.463,2681,96.579,5.363,0.596,2760,99.430,5.210,0.579,2600,93.665,5.530,0.614
7,8,0.5000000000000000000000000,2886,121.462,4.265,0.474,2117,89.111,5.813,0.646,2598,109.355,4.737,0.526,2860,120.355,4.304,0.478
7,8,0.5000000000000000000000000,1988,101.142,5.121,0.569,1658,84.343,6.142,0.682,1916,97.487,5.314,0.590,1705,86.738,5.972,0.664
7,8,0.5000000000000000000000000,2168,103.092,5.025,0.558,3997,190.052,2.726,0.303,1863,88.601,5.846,0.650,2003,95.258,5.868,0.652
7,8,0.5000000000000000000000000,2786,119.745,4.326,0.481,4229,181.789,2.849,0.317,1987,85.425,6.064,0.674,1988,85.465,6.061,0.673
7,8,0.5000000000000000000000000,3801,131.899,3.927,0.436,2417,83.883,6.175,0.686,2441,84.693,6.116,0.680,2542,88.226,5.871,0.652
7,8,0.5000000000000000000000000,3675,121.870,4.250,0.472,2902,96.250,5.382,0.598,3014,99.966,5.182,0.576,3786,125.553,4.126,0.458
7,8,0.5000000000000000000000000,2185,90.311,5.736,0.637,2091,86.419,5.994,0.666,1912,79.023,6.555,0.728,2106,87.026,5.952,0.661
7,8,0.5000000000000000000000000,4352,128.861,4.020,0.447,3002,88.890,5.827,0.647,2548,75.451,6.865,0.763,3538,104.755,4.945,0.549
