level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,20,0.5000000000000000000000000,1249,62.908,8.234,0.392,1013,51.041,10.149,0.483,883,44.501,11.640,0.554,786,39.605,13.079,0.623
7,20,0.5000000000000000000000000,1516,63.025,8.219,0.391,1163,48.332,10.717,0.510,871,36.209,14.306,0.681,1176,48.876,10.598,0.505
7,20,0.5000000000000000000000000,1416,68.437,7.569,0.360,1038,50.182,10.322,0.492,892,43.121,12.013,0.572,1037,50.100,10.339,0.492
7,20,0.5000000000000000000000000,916,51.082,10.140,0.483,874,48.720,10.632,0.506,791,44.065,11.755,0.560,778,43.347,11.950,0.569
7,20,0.5000000000000000000000000,1269,71.976,7.197,0.343,856,48.536,10.672,0.508,829,46.997,11.022,0.525,825,46.774,11.075,0.527
7,20,0.5000000000000000000000000,1730,73.205,7.076,0.337,848,35.868,14.442,0.688,1040,43.996,11.774,0.561,909,38.470,13.465,0.641
7,20,0.5000000000000000000000000,1502,62.308,8.314,0.396,1163,48.263,10.733,0.511,1052,43.640,11.870,0.565,968,40.142,12.904,0.614
7,20,0.5000000000000000000000000,1167,72.319,7.163,0.341,785,48.642,10.649,0.507,789,48.932,10.586,0.504,710,44.032,11.764,0.560
7,20,0.5000000000000000000000000,1405,62.302,8.314,0.396,1171,51.917,9.977,0.475,1111,49.259,10.516,0.501,1169,51.838,9.993,0.476
7,20,0.5000000000000000000000000,1634,55.476,9.337,0.445,1224,41.575,12.459,0.593,1427,48.459,10.689,0.509,1477,50.168,10.325,0.492
