level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,16,2.0000000000000000000000000,5755,218.023,2.376,0.140,3516,133.208,3.889,0.229,5207,197.269,2.626,0.154,4753,180.035,2.877,0.169
7,16,2.0000000000000000000000000,6799,246.829,2.099,0.123,5028,182.537,2.838,0.167,4384,159.153,3.255,0.191,4544,164.982,3.140,0.185
7,16,2.0000000000000000000000000,5905,221.081,2.343,0.138,5436,203.512,2.545,0.150,3837,143.632,3.606,0.212,5471,204.800,2.529,0.149
7,16,2.0000000000000000000000000,6512,226.052,2.291,0.135,5502,190.992,2.712,0.160,4542,157.658,3.286,0.193,5548,192.576,2.690,0.158
7,16,2.0000000000000000000000000,5772,272.394,1.902,0.112,3654,172.446,3.004,0.177,4256,200.855,2.579,0.152,4016,195.015,2.733,0.161
7,16,2.0000000000000000000000000,5547,204.287,2.536,0.149,4975,183.237,2.827,0.166,5612,206.695,2.506,0.147,4014,147.817,3.504,0.206
7,16,2.0000000000000000000000000,4067,209.540,2.472,0.145,3559,183.352,2.825,0.166,2923,150.586,3.440,0.202,2692,138.668,3.736,0.220
7,16,2.0000000000000000000000000,4386,262.091,1.976,0.116,2963,177.063,2.926,0.172,2947,176.081,2.942,0.173,2410,144.008,3.597,0.212
7,16,2.0000000000000000000000000,6334,236.001,2.195,0.129,3931,146.492,3.536,0.208,3842,143.176,3.618,0.213,4076,151.891,3.410,0.201
7,16,2.0000000000000000000000000,4170,248.224,2.087,0.123,2257,134.355,3.855,0.227,2545,155.589,3.419,0.201,2858,170.139,3.045,0.179
