level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,20,0.2500000000000000000000000,866,37.464,13.827,0.658,582,25.159,20.589,0.980,561,24.270,21.343,1.016,559,24.192,21.412,1.020
7,20,0.2500000000000000000000000,1112,37.365,13.863,0.660,780,26.202,19.769,0.941,704,23.638,21.914,1.044,756,25.381,20.409,0.972
7,20,0.2500000000000000000000000,797,38.519,13.448,0.640,538,26.026,19.903,0.948,496,23.986,21.596,1.028,538,25.998,19.924,0.949
7,20,0.2500000000000000000000000,592,36.674,14.124,0.673,407,25.211,20.546,0.978,378,23.424,22.114,1.053,385,23.814,21.752,1.036
7,20,0.2500000000000000000000000,594,37.921,13.660,0.650,384,24.494,21.148,1.007,386,24.626,21.035,1.002,387,24.725,20.674,0.984
7,20,0.2500000000000000000000000,734,33.298,15.556,0.741,538,24.410,21.221,1.011,526,23.868,21.702,1.033,556,25.201,20.555,0.979
7,20,0.2500000000000000000000000,832,34.500,15.014,0.715,601,24.922,20.785,0.990,581,24.115,21.481,1.023,571,23.682,21.873,1.042
7,20,0.2500000000000000000000000,988,41.928,12.355,0.588,622,26.396,19.624,0.934,582,24.712,20.961,0.998,527,22.003,23.172,1.103
7,20,0.2500000000000000000000000,747,33.138,15.683,0.747,606,26.875,19.274,0.918,562,24.912,20.793,0.990,604,26.791,19.335,0.921
7,20,0.2500000000000000000000000,1067,36.213,14.304,0.681,790,26.832,19.305,0.919,711,24.128,21.469,1.022,766,25.993,19.929,0.949
