level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,16,0.2500000000000000000000000,133,7.890,12.310,0.724,105,6.248,15.546,0.914,93,5.524,17.583,1.034,105,6.239,15.567,0.916
5,16,0.2500000000000000000000000,243,9.154,10.610,0.624,159,5.986,16.225,0.954,169,6.369,15.250,0.897,164,6.205,15.653,0.921
5,16,0.2500000000000000000000000,246,8.884,10.932,0.643,167,6.027,16.115,0.948,192,6.938,14.000,0.824,171,6.158,15.646,0.920
5,16,0.2500000000000000000000000,190,8.474,11.469,0.675,123,5.495,17.676,1.040,146,6.531,14.872,0.875,123,5.487,17.702,1.041
5,16,0.2500000000000000000000000,234,8.186,11.865,0.698,159,5.572,17.431,1.025,150,5.250,18.502,1.088,165,5.752,16.887,0.993
5,16,0.2500000000000000000000000,188,8.372,11.601,0.682,148,6.596,14.724,0.866,126,5.593,17.366,1.022,128,5.691,17.065,1.004
5,16,0.2500000000000000000000000,170,6.512,14.915,0.877,157,6.011,16.158,0.950,167,6.386,15.209,0.895,157,6.009,16.163,0.951
5,16,0.2500000000000000000000000,121,6.726,14.440,0.849,101,5.598,17.350,1.021,101,5.599,17.346,1.020,99,5.501,17.657,1.039
5,16,0.2500000000000000000000000,234,8.587,11.311,0.665,154,5.654,17.178,1.010,196,7.187,13.513,0.795,152,5.584,17.393,1.023
5,16,0.2500000000000000000000000,135,6.984,13.906,0.818,103,5.347,18.165,1.069,115,5.922,16.400,0.965,121,6.252,15.534,0.914
