level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,12,0.5000000000000000000000000,226,8.212,5.044,0.388,195,6.939,5.832,0.449,174,6.188,6.540,0.503,193,6.858,5.901,0.454
4,12,0.5000000000000000000000000,302,9.920,4.079,0.314,220,7.230,5.597,0.431,153,5.020,8.061,0.620,184,6.044,6.696,0.515
4,12,0.5000000000000000000000000,230,8.972,4.510,0.347,176,6.867,5.893,0.453,188,7.337,6.825,0.525,211,8.231,4.916,0.378
4,12,0.5000000000000000000000000,186,9.511,4.301,0.331,149,7.516,5.385,0.414,121,6.135,6.596,0.507,104,5.234,7.732,0.595
4,12,0.5000000000000000000000000,288,9.939,4.072,0.313,216,7.473,5.416,0.417,164,5.681,7.123,0.548,191,6.580,6.151,0.473
4,12,0.5000000000000000000000000,209,8.388,4.824,0.371,174,6.982,5.796,0.446,193,7.729,5.283,0.406,182,7.294,5.548,0.427
4,12,0.5000000000000000000000000,193,7.946,5.093,0.392,187,7.717,5.244,0.403,146,6.039,6.701,0.515,189,7.808,5.183,0.399
4,12,0.5000000000000000000000000,163,9.451,4.282,0.329,95,5.481,7.384,0.568,121,7.012,5.772,0.444,144,8.355,4.843,0.373
4,12,0.5000000000000000000000000,138,8.205,4.932,0.379,113,6.736,6.008,0.462,119,7.091,5.707,0.439,101,6.023,6.719,0.517
4,12,0.5000000000000000000000000,244,7.490,5.403,0.416,166,5.103,7.930,0.610,210,6.468,6.257,0.481,191,5.861,6.904,0.531
