level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,8,1.0000000000000000000000000,892,36.750,2.906,0.323,654,26.950,3.604,0.400,650,26.808,3.623,0.403,648,26.720,3.635,0.404
5,8,1.0000000000000000000000000,762,32.716,2.969,0.330,632,27.150,3.577,0.397,670,28.783,3.374,0.375,709,30.444,3.190,0.354
5,8,1.0000000000000000000000000,1218,39.649,2.349,0.261,807,27.391,3.546,0.394,838,28.430,3.416,0.380,813,27.602,3.519,0.391
5,8,1.0000000000000000000000000,663,39.100,2.484,0.276,456,26.865,3.727,0.414,446,26.268,3.697,0.411,419,24.706,3.931,0.437
5,8,1.0000000000000000000000000,1069,38.971,2.492,0.277,787,28.692,3.385,0.376,739,26.968,3.602,0.400,934,34.079,2.850,0.317
5,8,1.0000000000000000000000000,1019,40.655,2.389,0.265,680,27.111,3.868,0.430,649,25.877,3.753,0.417,653,26.053,3.694,0.410
5,8,1.0000000000000000000000000,654,39.997,2.428,0.270,524,32.019,3.033,0.337,415,25.392,3.825,0.425,566,34.573,2.809,0.312
5,8,1.0000000000000000000000000,917,33.210,2.925,0.325,723,26.196,3.708,0.412,714,25.864,3.755,0.417,745,26.979,3.600,0.400
5,8,1.0000000000000000000000000,876,27.943,3.476,0.386,755,24.088,4.032,0.448,779,24.865,3.906,0.434,781,24.908,3.899,0.433
5,8,1.0000000000000000000000000,1043,38.382,2.530,0.281,661,24.315,3.995,0.444,681,25.056,3.876,0.431,587,21.598,4.497,0.500
