level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,12,0.5000000000000000000000000,425,21.688,9.071,0.698,453,26.640,8.507,0.654,431,25.364,8.935,0.687,433,25.424,8.914,0.686
6,12,0.5000000000000000000000000,855,31.111,7.284,0.560,733,26.672,8.497,0.654,687,25.018,9.058,0.697,770,28.040,8.082,0.622
6,12,0.5000000000000000000000000,929,38.840,5.835,0.449,644,26.946,8.410,0.647,628,26.274,8.626,0.664,651,27.234,8.322,0.640
6,12,0.5000000000000000000000000,477,31.049,7.299,0.561,376,24.459,9.265,0.713,369,23.990,9.447,0.727,387,25.158,9.008,0.693
6,12,0.5000000000000000000000000,637,38.332,5.912,0.455,475,28.569,7.932,0.610,414,24.889,9.105,0.700,453,27.241,8.319,0.640
6,12,0.5000000000000000000000000,633,40.044,5.659,0.435,396,25.076,9.038,0.695,445,28.177,8.043,0.619,415,26.265,8.628,0.664
6,12,0.5000000000000000000000000,970,41.728,5.431,0.418,615,26.453,8.567,0.659,550,23.674,9.573,0.736,620,26.694,8.490,0.653
6,12,0.5000000000000000000000000,849,39.217,5.779,0.445,640,29.579,7.662,0.589,609,28.159,8.048,0.619,580,26.821,8.449,0.650
6,12,0.5000000000000000000000000,1113,35.353,6.410,0.493,850,27.006,8.392,0.646,784,24.885,9.107,0.701,901,28.626,7.917,0.609
6,12,0.5000000000000000000000000,630,31.933,7.097,0.546,442,22.431,10.103,0.777,452,22.922,8.580,0.660,440,22.283,10.170,0.782
