level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,16,1.0000000000000000000000000,417,25.097,3.870,0.228,391,23.559,4.123,0.243,328,19.746,4.919,0.289,391,23.549,4.124,0.243
5,16,1.0000000000000000000000000,654,28.143,3.451,0.203,511,21.988,4.417,0.260,449,19.303,5.032,0.296,529,22.785,4.263,0.251
5,16,1.0000000000000000000000000,758,24.536,3.958,0.233,682,22.073,4.400,0.259,536,17.338,5.602,0.330,635,20.538,4.729,0.278
5,16,1.0000000000000000000000000,365,21.622,4.492,0.264,389,23.027,4.218,0.248,323,19.133,5.076,0.299,342,20.282,4.789,0.282
5,16,1.0000000000000000000000000,459,26.360,3.684,0.217,340,19.532,4.973,0.293,414,23.756,4.088,0.240,340,19.532,4.973,0.293
5,16,1.0000000000000000000000000,465,20.666,4.700,0.276,432,19.209,5.056,0.297,552,24.536,3.958,0.233,432,19.196,5.060,0.298
5,16,1.0000000000000000000000000,758,25.399,3.824,0.225,661,22.163,4.382,0.258,543,18.208,5.334,0.314,661,22.161,4.383,0.258
5,16,1.0000000000000000000000000,491,23.471,4.138,0.243,359,17.425,5.663,0.333,434,20.769,4.676,0.275,300,14.349,6.769,0.398
5,16,1.0000000000000000000000000,816,29.872,3.251,0.191,441,16.157,6.015,0.354,457,16.753,5.797,0.341,670,23.071,3.957,0.233
5,16,1.0000000000000000000000000,423,21.838,4.448,0.262,303,15.643,6.209,0.365,397,20.523,4.733,0.278,451,23.317,4.165,0.245
