level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,20,2.0000000000000000000000000,3235,202.089,2.563,0.122,2550,159.332,3.251,0.155,2503,156.390,3.312,0.158,2545,159.022,3.257,0.155
7,20,2.0000000000000000000000000,6509,204.725,2.407,0.115,5671,187.454,2.763,0.132,5754,190.220,2.723,0.130,5750,190.059,2.725,0.130
7,20,2.0000000000000000000000000,6468,248.113,2.088,0.099,5089,195.214,2.653,0.126,3747,143.716,3.604,0.172,5090,195.254,2.653,0.126
7,20,2.0000000000000000000000000,3863,176.065,2.942,0.140,4163,189.774,2.730,0.130,3847,175.361,2.954,0.141,3695,168.453,3.075,0.146
7,20,2.0000000000000000000000000,4458,252.807,2.049,0.098,3337,189.196,2.738,0.130,3393,192.391,2.692,0.128,3214,182.267,2.842,0.135
7,20,2.0000000000000000000000000,5293,220.164,2.353,0.112,3359,139.715,3.708,0.177,4188,174.209,2.973,0.142,3728,155.095,3.340,0.159
7,20,2.0000000000000000000000000,6872,262.202,1.976,0.094,5138,196.067,2.642,0.126,4533,172.978,2.995,0.143,4170,159.113,3.256,0.155
7,20,2.0000000000000000000000000,2767,176.270,2.939,0.140,2978,189.690,2.731,0.130,3139,199.951,2.591,0.123,2690,171.370,3.023,0.144
7,20,2.0000000000000000000000000,5396,239.354,2.164,0.103,4728,209.685,2.470,0.118,4405,195.384,2.651,0.126,4557,202.121,2.563,0.122
7,20,2.0000000000000000000000000,4942,167.801,3.087,0.147,4176,141.784,3.653,0.174,5676,192.731,2.688,0.128,5821,197.661,2.621,0.125
