level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,20,1.0000000000000000000000000,491,27.115,3.582,0.171,422,23.286,4.171,0.199,376,20.781,4.674,0.223,422,23.286,4.171,0.199
5,20,1.0000000000000000000000000,661,26.203,3.707,0.177,408,16.183,6.002,0.286,424,16.816,5.776,0.275,551,21.837,4.448,0.212
5,20,1.0000000000000000000000000,400,20.438,4.714,0.224,404,20.645,4.705,0.224,407,20.794,4.671,0.222,404,20.645,4.705,0.224
5,20,1.0000000000000000000000000,425,24.997,3.886,0.185,302,17.730,5.478,0.261,349,20.508,4.736,0.226,302,17.730,5.478,0.261
5,20,1.0000000000000000000000000,425,18.507,5.248,0.250,546,23.797,4.081,0.194,523,22.804,4.259,0.203,546,23.797,4.081,0.194
5,20,1.0000000000000000000000000,521,20.667,4.699,0.224,523,20.766,4.677,0.223,534,21.173,4.587,0.218,523,20.766,4.677,0.223
5,20,1.0000000000000000000000000,370,22.824,4.255,0.203,276,17.039,5.700,0.271,341,21.078,4.608,0.219,278,16.757,5.651,0.269
5,20,1.0000000000000000000000000,524,26.583,3.654,0.174,364,18.487,5.254,0.250,333,17.368,5.751,0.274,364,18.487,5.254,0.250
5,20,1.0000000000000000000000000,381,22.469,4.323,0.206,375,22.106,4.397,0.209,404,23.844,4.076,0.194,281,16.580,5.854,0.279
5,20,1.0000000000000000000000000,528,23.067,4.324,0.206,427,18.161,5.348,0.255,538,22.886,4.244,0.202,419,17.824,5.449,0.259
