level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,20,4.0000000000000000000000000,5419,339.814,1.524,0.073,5151,323.001,1.647,0.078,6056,384.441,1.364,0.065,5047,316.485,1.637,0.078
7,20,4.0000000000000000000000000,10829,484.830,1.068,0.051,8330,372.949,1.389,0.066,6183,276.839,1.871,0.089,8450,378.304,1.369,0.065
7,20,4.0000000000000000000000000,12484,486.148,1.066,0.051,9981,388.656,1.333,0.063,8761,341.152,1.518,0.072,9984,388.793,1.332,0.063
7,20,4.0000000000000000000000000,7824,356.666,1.452,0.069,8289,377.846,1.371,0.065,7682,350.178,1.479,0.070,7355,335.261,1.545,0.074
7,20,4.0000000000000000000000000,7043,444.993,1.164,0.055,5963,376.744,1.375,0.065,6083,384.322,1.348,0.064,5708,360.670,1.436,0.068
7,20,4.0000000000000000000000000,12342,433.139,1.196,0.057,7916,277.833,1.864,0.089,9913,347.902,1.489,0.071,8797,308.750,1.678,0.080
7,20,4.0000000000000000000000000,11476,476.112,1.088,0.052,9416,390.668,1.326,0.063,8327,345.468,1.499,0.071,7635,316.754,1.635,0.078
7,20,4.0000000000000000000000000,7611,484.828,1.068,0.051,5930,377.754,1.371,0.065,6270,399.400,1.297,0.062,5489,349.635,1.482,0.071
7,20,4.0000000000000000000000000,8863,393.112,1.318,0.063,9436,418.528,1.238,0.059,8799,390.273,1.327,0.063,9507,421.692,1.228,0.058
7,20,4.0000000000000000000000000,11504,390.601,1.326,0.063,8756,297.313,1.742,0.083,11338,384.962,1.346,0.064,11600,393.866,1.315,0.063
