level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,12,0.2500000000000000000000000,80,5.295,7.809,0.601,60,3.871,10.455,0.804,50,3.280,12.339,0.949,57,3.696,10.949,0.842
4,12,0.2500000000000000000000000,105,6.586,6.145,0.473,57,3.551,11.396,0.877,47,2.952,13.708,1.054,53,3.329,12.156,0.935
4,12,0.2500000000000000000000000,112,5.512,7.342,0.565,81,3.994,10.132,0.779,76,3.737,10.948,0.842,87,4.259,9.400,0.723
4,12,0.2500000000000000000000000,85,5.457,7.416,0.570,61,3.909,10.353,0.796,59,3.778,10.712,0.824,60,3.858,10.490,0.807
4,12,0.2500000000000000000000000,148,6.003,6.741,0.519,106,4.321,9.365,0.720,83,3.369,12.012,0.924,115,4.669,8.667,0.667
4,12,0.2500000000000000000000000,132,5.194,7.791,0.599,87,3.412,11.860,0.912,103,4.043,10.011,0.770,97,3.834,10.555,0.812
4,12,0.2500000000000000000000000,133,5.071,7.981,0.614,114,4.346,9.312,0.716,79,3.016,13.418,1.032,115,4.392,9.214,0.709
4,12,0.2500000000000000000000000,123,5.186,7.803,0.600,80,3.381,11.969,0.921,84,3.535,11.447,0.881,74,3.116,12.987,0.999
4,12,0.2500000000000000000000000,88,4.849,8.345,0.642,67,3.682,10.992,0.846,65,3.564,10.670,0.821,59,3.276,12.354,0.950
4,12,0.2500000000000000000000000,149,4.297,9.418,0.724,105,3.027,13.370,1.028,120,3.472,11.656,0.897,120,3.474,10.660,0.820
