level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,12,4.0000000000000000000000000,4138,229.153,0.989,0.076,2922,161.798,1.401,0.108,2741,151.766,1.493,0.115,2731,151.246,1.498,0.115
6,12,4.0000000000000000000000000,3057,191.503,1.183,0.091,2844,178.168,1.272,0.098,2119,132.748,1.707,0.131,2969,186.019,1.218,0.094
6,12,4.0000000000000000000000000,4309,256.197,0.885,0.068,2683,159.484,1.421,0.109,3054,181.593,1.248,0.096,2673,158.906,1.426,0.110
6,12,4.0000000000000000000000000,5387,194.367,1.166,0.090,4075,147.023,1.541,0.119,4274,154.228,1.469,0.113,4885,176.240,1.286,0.099
6,12,4.0000000000000000000000000,4436,267.000,0.849,0.065,2704,162.753,1.392,0.107,2270,136.627,1.659,0.128,2966,178.526,1.269,0.098
6,12,4.0000000000000000000000000,4539,287.272,0.789,0.061,2636,166.818,1.359,0.105,2914,184.449,1.229,0.095,2573,162.864,1.391,0.107
6,12,4.0000000000000000000000000,4851,208.800,1.085,0.083,3921,168.777,1.343,0.103,3105,133.626,1.696,0.130,3761,161.893,1.400,0.108
6,12,4.0000000000000000000000000,4429,164.186,1.380,0.106,4590,170.162,1.332,0.102,4233,156.938,1.444,0.111,4258,157.862,1.436,0.110
6,12,4.0000000000000000000000000,8109,257.510,0.880,0.068,5185,164.666,1.376,0.106,5159,163.836,1.383,0.106,5185,164.666,1.376,0.106
6,12,4.0000000000000000000000000,3009,154.587,1.466,0.113,2454,126.068,1.798,0.138,3225,165.678,1.368,0.105,2402,123.421,1.836,0.141
