level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,8,4.0000000000000000000000000,3519,130.439,0.761,0.085,2877,104.287,0.931,0.103,2354,85.319,1.138,0.126,2664,96.556,1.006,0.112
5,8,4.0000000000000000000000000,3496,130.751,0.743,0.083,2469,92.356,1.052,0.117,2479,92.746,1.047,0.116,2576,96.344,1.008,0.112
5,8,4.0000000000000000000000000,3039,117.307,0.828,0.092,2152,83.071,1.169,0.130,2234,86.238,1.126,0.125,2221,85.724,1.133,0.126
5,8,4.0000000000000000000000000,2041,120.273,0.808,0.090,1474,86.849,1.118,0.124,1491,87.884,1.105,0.123,1488,87.732,1.107,0.123
5,8,4.0000000000000000000000000,2571,114.699,0.799,0.089,2050,96.966,1.002,0.111,1902,89.958,1.080,0.120,2320,109.767,0.885,0.098
5,8,4.0000000000000000000000000,2261,104.215,0.932,0.104,2096,96.634,1.005,0.112,2086,96.135,1.010,0.112,1866,86.036,1.119,0.124
5,8,4.0000000000000000000000000,3587,138.983,0.699,0.078,2739,106.133,0.915,0.102,2285,88.540,1.097,0.122,2755,106.746,0.910,0.101
5,8,4.0000000000000000000000000,2067,101.299,0.959,0.107,1841,90.188,1.077,0.120,1755,85.989,1.135,0.126,1842,90.273,1.076,0.120
5,8,4.0000000000000000000000000,3842,127.627,0.761,0.085,2573,74.580,1.286,0.143,2801,93.045,1.044,0.116,2413,80.149,1.212,0.135
5,8,4.0000000000000000000000000,2502,92.104,1.055,0.117,2227,81.986,1.185,0.132,2003,73.743,1.317,0.146,2128,78.326,1.240,0.138
