level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,12,2.0000000000000000000000000,737,31.305,1.293,0.099,637,27.069,1.495,0.115,601,25.547,1.584,0.122,606,25.772,1.570,0.121
4,12,2.0000000000000000000000000,686,25.191,1.606,0.124,645,23.675,1.709,0.131,489,17.960,2.253,0.173,668,24.522,1.650,0.127
4,12,2.0000000000000000000000000,487,29.063,1.392,0.107,462,27.796,1.468,0.113,359,21.430,1.888,0.145,444,26.477,1.528,0.118
4,12,2.0000000000000000000000000,510,26.283,1.540,0.118,492,25.327,1.598,0.123,443,22.821,1.773,0.136,542,27.940,1.448,0.111
4,12,2.0000000000000000000000000,454,28.909,1.389,0.107,425,27.242,1.485,0.114,330,21.180,1.911,0.147,471,30.218,1.339,0.103
4,12,2.0000000000000000000000000,526,21.079,1.920,0.148,638,25.565,1.583,0.122,744,29.850,1.356,0.104,708,28.395,1.425,0.110
4,12,2.0000000000000000000000000,565,23.297,1.737,0.134,691,28.490,1.420,0.109,522,22.095,1.879,0.145,701,28.925,1.399,0.108
4,12,2.0000000000000000000000000,1021,33.702,1.201,0.092,587,19.374,2.081,0.160,807,26.615,1.521,0.117,601,19.844,2.039,0.157
4,12,2.0000000000000000000000000,869,28.952,1.398,0.108,748,26.526,1.624,0.125,805,26.837,1.508,0.116,644,21.464,1.885,0.145
4,12,2.0000000000000000000000000,830,25.259,1.602,0.123,572,17.402,2.073,0.159,800,24.351,1.500,0.115,861,29.412,1.544,0.119
