level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,12,4.0000000000000000000000000,947,44.436,0.911,0.070,1128,52.900,0.765,0.059,1105,51.838,0.781,0.060,1087,50.990,0.794,0.061
4,12,4.0000000000000000000000000,1187,40.804,0.992,0.076,1538,52.880,0.765,0.059,1086,37.341,1.084,0.083,1405,48.316,0.838,0.064
4,12,4.0000000000000000000000000,1938,62.581,0.647,0.050,1521,49.126,0.824,0.063,1679,54.195,0.747,0.057,1377,43.545,0.910,0.070
4,12,4.0000000000000000000000000,1129,66.320,0.610,0.047,1011,59.415,0.681,0.052,768,45.141,0.896,0.069,884,51.930,0.779,0.060
4,12,4.0000000000000000000000000,1771,59.092,0.680,0.052,1594,53.602,0.755,0.058,1240,41.692,0.971,0.075,1875,63.034,0.642,0.049
4,12,4.0000000000000000000000000,1544,58.214,0.695,0.053,1339,50.485,0.802,0.062,1284,48.407,0.836,0.064,1494,56.300,0.719,0.055
4,12,4.0000000000000000000000000,805,49.858,0.812,0.062,912,56.506,0.716,0.055,740,45.846,0.883,0.068,927,57.399,0.705,0.054
4,12,4.0000000000000000000000000,976,54.835,0.738,0.057,692,38.867,1.041,0.080,939,52.753,0.767,0.059,695,39.088,1.035,0.080
4,12,4.0000000000000000000000000,931,50.920,0.846,0.065,913,49.897,0.863,0.066,1037,53.271,0.760,0.058,822,42.261,0.958,0.074
4,12,4.0000000000000000000000000,1529,45.682,0.886,0.068,1144,34.179,1.184,0.091,1548,50.555,0.875,0.067,1351,40.373,1.002,0.077
