level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,12,0.2500000000000000000000000,466,22.542,10.054,0.773,353,17.098,13.254,1.020,352,17.023,13.313,1.024,385,18.625,12.168,0.936
6,12,0.2500000000000000000000000,537,21.125,10.728,0.825,467,18.338,12.358,0.951,417,16.400,13.819,1.063,471,18.505,12.247,0.942
6,12,0.2500000000000000000000000,661,22.641,10.010,0.770,556,19.041,11.902,0.916,519,17.780,12.746,0.980,570,19.528,11.605,0.893
6,12,0.2500000000000000000000000,554,19.992,11.336,0.872,441,15.923,14.233,1.095,464,16.756,13.525,1.040,452,16.322,13.885,1.068
6,12,0.2500000000000000000000000,390,23.498,9.644,0.742,326,19.630,11.545,0.888,300,18.062,12.547,0.965,300,18.068,12.543,0.965
6,12,0.2500000000000000000000000,316,19.994,11.335,0.872,267,16.925,13.390,1.030,262,16.582,13.667,1.051,266,16.811,13.603,1.046
6,12,0.2500000000000000000000000,651,23.485,9.650,0.742,447,16.114,14.064,1.082,438,15.814,14.330,1.102,470,16.958,13.364,1.028
6,12,0.2500000000000000000000000,379,20.682,10.957,0.843,378,20.652,10.974,0.844,313,17.125,13.233,1.018,312,17.022,13.314,1.024
6,12,0.2500000000000000000000000,739,23.454,9.081,0.699,521,16.558,13.687,1.053,520,16.499,12.909,0.993,569,18.078,12.536,0.964
6,12,0.2500000000000000000000000,400,20.265,11.183,0.860,295,14.952,15.157,1.166,303,15.369,14.746,1.134,308,15.629,14.500,1.115
