level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,12,1.0000000000000000000000000,447,18.025,2.256,0.174,343,13.768,2.939,0.226,324,13.007,3.111,0.239,328,13.162,3.268,0.251
4,12,1.0000000000000000000000000,395,17.972,2.252,0.173,298,13.575,2.981,0.229,265,12.038,3.362,0.259,278,12.667,3.195,0.246
4,12,1.0000000000000000000000000,378,18.546,2.182,0.168,260,12.719,3.182,0.245,287,14.075,2.875,0.221,285,13.987,2.925,0.225
4,12,1.0000000000000000000000000,272,12.872,3.144,0.242,320,15.182,2.666,0.205,255,12.081,3.350,0.258,299,14.153,2.859,0.220
4,12,1.0000000000000000000000000,531,18.353,2.205,0.170,408,14.079,2.874,0.221,319,11.032,3.634,0.280,467,16.115,2.511,0.193
4,12,1.0000000000000000000000000,341,13.682,2.958,0.228,327,13.105,3.088,0.238,377,15.103,3.163,0.243,352,14.103,2.870,0.221
4,12,1.0000000000000000000000000,335,12.869,3.226,0.248,393,14.721,2.749,0.211,359,13.462,2.930,0.225,398,14.927,2.711,0.209
4,12,1.0000000000000000000000000,525,17.313,2.337,0.180,380,12.523,3.232,0.249,289,9.479,4.250,0.327,391,13.119,3.134,0.241
4,12,1.0000000000000000000000000,279,12.864,2.964,0.228,277,12.970,3.158,0.243,320,15.714,2.740,0.211,242,11.188,3.617,0.278
4,12,1.0000000000000000000000000,326,17.414,2.608,0.201,190,9.013,4.490,0.345,262,12.460,3.248,0.250,228,10.827,3.738,0.288
