level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,8,2.0000000000000000000000000,865,33.204,1.219,0.135,826,30.850,1.316,0.146,613,23.516,1.721,0.191,667,25.607,1.580,0.176
4,8,2.0000000000000000000000000,547,30.526,1.326,0.147,460,25.645,1.578,0.175,430,23.983,1.687,0.187,447,24.919,1.624,0.180
4,8,2.0000000000000000000000000,1097,38.287,1.057,0.117,848,29.611,1.367,0.152,610,21.289,1.901,0.211,815,28.443,1.423,0.158
4,8,2.0000000000000000000000000,626,25.501,1.587,0.176,637,25.947,1.560,0.173,704,28.647,1.492,0.166,730,29.736,1.361,0.151
4,8,2.0000000000000000000000000,596,37.763,1.072,0.119,326,20.646,1.960,0.218,438,27.771,1.468,0.163,387,24.508,1.651,0.183
4,8,2.0000000000000000000000000,779,34.777,1.303,0.145,554,24.702,1.638,0.182,637,28.409,1.424,0.158,606,27.054,1.496,0.166
4,8,2.0000000000000000000000000,473,24.877,1.627,0.181,574,30.145,1.342,0.149,490,25.737,1.572,0.175,422,22.196,1.823,0.203
4,8,2.0000000000000000000000000,534,25.201,1.606,0.178,415,19.551,2.070,0.230,573,27.001,1.499,0.167,416,19.604,2.064,0.229
4,8,2.0000000000000000000000000,463,27.846,1.453,0.161,414,24.906,1.625,0.181,418,25.159,1.608,0.179,419,25.222,1.604,0.178
4,8,2.0000000000000000000000000,798,25.968,1.558,0.173,615,20.006,2.040,0.227,588,19.144,2.114,0.235,640,20.840,1.942,0.216
