level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,20,0.2500000000000000000000000,243,8.232,11.799,0.562,148,5.125,19.337,0.921,175,5.919,16.423,0.782,183,6.413,15.642,0.745
5,20,0.2500000000000000000000000,208,8.255,11.766,0.560,121,4.798,20.242,0.964,141,5.603,17.335,0.825,147,5.836,16.643,0.793
5,20,0.2500000000000000000000000,180,6.519,14.780,0.704,140,5.086,19.249,0.917,159,5.755,16.878,0.804,137,4.941,19.656,0.936
5,20,0.2500000000000000000000000,221,8.230,11.801,0.562,128,4.758,20.414,0.972,185,6.900,14.076,0.670,128,4.758,20.414,0.972
5,20,0.2500000000000000000000000,150,6.483,14.982,0.713,130,5.628,17.258,0.822,145,6.243,15.675,0.746,146,6.304,14.975,0.713
5,20,0.2500000000000000000000000,143,6.300,15.417,0.734,145,6.396,15.186,0.723,141,6.203,15.800,0.752,126,5.523,17.586,0.837
5,20,0.2500000000000000000000000,172,6.914,14.048,0.669,116,4.644,20.916,0.996,119,4.778,20.326,0.968,116,4.644,20.916,0.996
5,20,0.2500000000000000000000000,131,6.660,14.584,0.694,99,5.042,19.262,0.917,130,6.583,14.754,0.703,99,5.042,19.262,0.917
5,20,0.2500000000000000000000000,116,6.829,14.222,0.677,100,5.867,16.555,0.788,99,5.841,16.629,0.792,100,5.867,16.555,0.788
5,20,0.2500000000000000000000000,91,5.599,16.651,0.793,81,4.946,19.637,0.935,76,4.684,20.734,0.987,80,4.872,19.934,0.949
