level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,8,0.5000000000000000000000000,1436,53.324,4.123,0.458,1147,43.895,5.163,0.574,1061,40.606,5.581,0.620,1230,47.089,4.813,0.535
6,8,0.5000000000000000000000000,1522,49.756,4.555,0.506,1168,38.188,5.934,0.659,1303,42.583,5.322,0.591,1409,46.061,4.920,0.547
6,8,0.5000000000000000000000000,1454,51.922,4.365,0.485,1129,40.299,5.624,0.625,1161,41.449,5.468,0.608,1076,38.424,5.898,0.655
6,8,0.5000000000000000000000000,721,39.788,5.696,0.633,654,36.099,6.278,0.698,670,36.982,6.128,0.681,697,38.452,5.894,0.655
6,8,0.5000000000000000000000000,878,41.360,5.479,0.609,1194,56.245,4.029,0.448,855,40.267,5.628,0.625,811,38.178,5.936,0.660
6,8,0.5000000000000000000000000,1385,52.129,4.347,0.483,1159,43.612,5.196,0.577,1043,39.238,5.776,0.642,1150,43.260,5.239,0.582
6,8,0.5000000000000000000000000,1171,50.194,4.515,0.502,828,35.523,6.380,0.709,874,37.485,6.046,0.672,848,36.363,6.232,0.692
6,8,0.5000000000000000000000000,1178,66.853,3.390,0.377,809,45.901,4.937,0.549,657,37.297,6.076,0.675,723,41.058,5.520,0.613
6,8,0.5000000000000000000000000,1184,42.226,5.367,0.596,990,35.293,6.421,0.713,1080,38.500,5.886,0.654,1004,35.823,6.326,0.703
6,8,0.5000000000000000000000000,926,42.169,5.374,0.597,895,40.775,5.558,0.618,780,35.537,6.377,0.709,719,32.759,6.918,0.769
