level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,16,0.5000000000000000000000000,379,12.693,7.652,0.450,358,12.018,8.082,0.475,333,11.152,8.709,0.512,358,12.009,8.088,0.476
5,16,0.5000000000000000000000000,311,13.929,6.973,0.410,253,11.320,8.580,0.505,224,10.062,9.653,0.568,262,11.732,8.279,0.487
5,16,0.5000000000000000000000000,454,15.672,6.197,0.365,330,11.376,8.538,0.502,332,11.454,8.480,0.499,305,10.514,9.238,0.543
5,16,0.5000000000000000000000000,237,10.653,9.117,0.536,232,10.448,9.296,0.547,166,7.454,13.030,0.766,231,10.418,9.323,0.548
5,16,0.5000000000000000000000000,357,11.966,8.116,0.477,312,10.456,9.289,0.546,360,12.036,8.069,0.475,299,10.002,9.710,0.571
5,16,0.5000000000000000000000000,356,13.880,6.997,0.412,253,9.855,9.855,0.580,319,12.443,7.876,0.463,253,9.842,9.868,0.580
5,16,0.5000000000000000000000000,317,10.639,9.129,0.537,319,10.685,8.862,0.521,327,11.234,8.868,0.522,340,11.393,8.525,0.501
5,16,0.5000000000000000000000000,391,12.602,7.707,0.453,259,8.336,11.651,0.685,328,10.549,9.207,0.542,267,8.583,11.316,0.666
5,16,0.5000000000000000000000000,441,16.141,6.017,0.354,287,10.507,9.244,0.544,234,8.555,11.353,0.668,287,10.505,9.246,0.544
5,16,0.5000000000000000000000000,251,12.953,7.498,0.441,176,9.078,10.698,0.629,202,10.435,9.308,0.548,231,11.941,8.134,0.478
