level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,12,1.0000000000000000000000000,2225,74.127,3.057,0.235,1272,42.360,5.350,0.412,1310,43.628,5.194,0.400,1355,45.136,5.021,0.386
6,12,1.0000000000000000000000000,1098,71.430,3.173,0.244,700,45.523,4.978,0.383,691,44.967,5.040,0.388,742,48.274,4.695,0.361
6,12,1.0000000000000000000000000,1667,60.195,3.765,0.290,1367,49.362,4.591,0.353,1190,42.982,5.383,0.414,1260,45.495,4.981,0.383
6,12,1.0000000000000000000000000,1294,64.960,3.489,0.268,820,41.138,5.509,0.424,802,40.261,5.629,0.433,895,44.912,5.046,0.388
6,12,1.0000000000000000000000000,1128,67.914,3.337,0.257,792,47.692,4.752,0.366,681,41.006,5.527,0.425,761,45.820,4.946,0.380
6,12,1.0000000000000000000000000,911,57.693,3.928,0.302,709,44.860,5.052,0.389,732,46.356,4.889,0.376,674,42.651,5.313,0.409
6,12,1.0000000000000000000000000,1376,59.226,3.826,0.294,1001,43.065,5.262,0.405,979,42.123,5.380,0.414,987,42.499,5.332,0.410
6,12,1.0000000000000000000000000,1960,72.649,3.119,0.240,1356,50.284,4.507,0.347,1115,41.151,5.482,0.422,1127,41.784,5.424,0.417
6,12,1.0000000000000000000000000,1483,69.939,3.240,0.249,892,42.063,5.388,0.414,874,41.233,5.496,0.423,968,45.647,4.965,0.382
6,12,1.0000000000000000000000000,1111,56.309,4.025,0.310,702,35.609,6.364,0.490,822,41.658,5.440,0.418,754,38.214,5.930,0.456
