level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,16,4.0000000000000000000000000,951,41.677,1.017,0.060,1309,56.255,0.719,0.042,1217,52.275,0.774,0.046,1395,59.948,0.675,0.040
4,16,4.0000000000000000000000000,1534,60.024,0.674,0.040,1366,53.446,0.757,0.045,1301,50.912,0.795,0.047,1175,45.976,0.880,0.052
4,16,4.0000000000000000000000000,938,46.466,0.871,0.051,1326,65.678,0.616,0.036,833,41.277,0.980,0.058,1262,62.523,0.647,0.038
4,16,4.0000000000000000000000000,1878,66.995,0.604,0.036,1313,46.827,0.864,0.051,1257,44.825,0.903,0.053,1176,41.927,0.965,0.057
4,16,4.0000000000000000000000000,958,57.328,0.706,0.042,837,50.096,0.808,0.048,999,59.732,0.678,0.040,913,54.635,0.741,0.044
4,16,4.0000000000000000000000000,1500,63.195,0.640,0.038,1402,59.051,0.685,0.040,1464,61.676,0.656,0.039,1394,58.716,0.689,0.041
4,16,4.0000000000000000000000000,1277,41.981,0.964,0.057,1837,60.374,0.670,0.039,1633,53.661,0.735,0.043,1740,57.178,0.708,0.042
4,16,4.0000000000000000000000000,1092,47.752,0.847,0.050,1106,48.375,0.837,0.049,1113,48.694,0.831,0.049,1083,47.374,0.841,0.049
4,16,4.0000000000000000000000000,730,47.104,0.859,0.051,652,42.076,0.961,0.057,622,40.108,1.009,0.059,815,52.580,0.770,0.045
4,16,4.0000000000000000000000000,1100,61.079,0.645,0.038,780,43.294,0.935,0.055,949,52.679,0.768,0.045,1042,57.854,0.777,0.046
