level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,20,0.2500000000000000000000000,367,18.810,12.048,0.574,238,11.872,18.584,0.885,199,10.218,22.178,1.056,238,12.187,18.596,0.886
6,20,0.2500000000000000000000000,493,19.177,11.817,0.563,279,10.844,20.899,0.995,266,10.347,21.902,1.043,276,10.722,21.137,1.007
6,20,0.2500000000000000000000000,391,18.253,12.416,0.591,232,10.847,20.893,0.995,231,10.809,20.965,0.998,226,10.546,21.489,1.023
6,20,0.2500000000000000000000000,392,16.811,13.481,0.642,238,10.235,22.143,1.054,247,10.589,21.403,1.019,229,9.828,23.058,1.098
6,20,0.2500000000000000000000000,279,17.987,12.599,0.600,173,11.141,20.342,0.969,179,11.571,19.586,0.933,164,10.523,21.375,1.018
6,20,0.2500000000000000000000000,542,18.634,12.162,0.579,319,10.975,22.002,1.048,313,10.759,21.064,1.003,316,10.871,20.847,0.993
6,20,0.2500000000000000000000000,424,18.518,12.238,0.583,253,11.050,20.508,0.977,245,10.702,21.175,1.008,253,11.033,20.541,0.978
6,20,0.2500000000000000000000000,409,16.125,14.054,0.669,271,10.679,21.222,1.011,305,12.029,18.840,0.897,271,10.679,21.222,1.011
6,20,0.2500000000000000000000000,324,14.819,15.293,0.728,219,10.045,22.561,1.074,264,12.089,18.746,0.893,243,11.151,20.324,0.968
6,20,0.2500000000000000000000000,406,16.510,13.727,0.654,251,10.485,22.196,1.057,285,11.616,19.509,0.929,256,10.407,21.777,1.037
