level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,8,0.2500000000000000000000000,765,25.619,8.612,0.957,819,28.155,8.049,0.894,814,27.974,8.101,0.900,985,33.882,6.689,0.743
6,8,0.2500000000000000000000000,669,29.865,7.588,0.843,617,27.546,8.227,0.914,648,28.921,7.836,0.871,589,26.277,8.624,0.958
6,8,0.2500000000000000000000000,778,33.661,6.733,0.748,622,26.892,8.427,0.936,777,33.619,6.741,0.749,604,26.146,8.668,0.963
6,8,0.2500000000000000000000000,650,25.799,8.784,0.976,617,24.515,9.244,1.027,614,24.366,9.301,1.033,671,26.635,8.509,0.945
6,8,0.2500000000000000000000000,682,32.138,7.052,0.784,673,31.696,7.150,0.794,540,25.429,8.912,0.990,560,26.393,8.587,0.954
6,8,0.2500000000000000000000000,646,28.448,7.966,0.885,641,28.197,8.037,0.893,552,24.524,9.325,1.036,638,28.092,8.067,0.896
6,8,0.2500000000000000000000000,708,30.349,7.467,0.830,611,26.187,8.654,0.962,560,24.020,9.435,1.048,549,23.561,9.619,1.069
6,8,0.2500000000000000000000000,482,27.384,8.276,0.920,514,29.154,7.773,0.864,481,27.272,8.310,0.923,443,25.169,9.004,1.000
6,8,0.2500000000000000000000000,574,24.544,9.233,1.026,556,23.795,9.524,1.058,579,24.798,9.139,1.015,562,24.047,9.424,1.047
6,8,0.2500000000000000000000000,833,27.478,8.247,0.916,720,23.774,9.533,1.059,666,21.973,10.314,1.146,666,21.971,10.315,1.146
