level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,16,2.0000000000000000000000000,834,44.322,2.256,0.133,903,46.637,2.083,0.123,759,39.166,2.480,0.146,903,46.628,2.083,0.123
5,16,2.0000000000000000000000000,914,49.154,1.976,0.116,805,43.323,2.242,0.132,829,44.588,2.178,0.128,835,44.893,2.163,0.127
5,16,2.0000000000000000000000000,1426,51.452,1.888,0.111,1205,43.468,2.234,0.131,951,34.329,2.829,0.166,1125,40.588,2.393,0.141
5,16,2.0000000000000000000000000,963,55.843,1.739,0.102,773,44.360,2.165,0.127,654,37.938,2.560,0.151,690,40.009,2.428,0.143
5,16,2.0000000000000000000000000,1583,59.008,1.646,0.097,1036,38.591,2.517,0.148,1266,47.196,2.058,0.121,1036,38.591,2.517,0.148
5,16,2.0000000000000000000000000,1256,55.829,1.740,0.102,853,37.917,2.562,0.151,1096,48.723,2.013,0.118,853,37.904,2.562,0.151
5,16,2.0000000000000000000000000,1089,41.220,2.356,0.139,1155,43.699,2.223,0.131,954,36.093,2.691,0.158,1154,43.697,2.223,0.131
5,16,2.0000000000000000000000000,797,44.166,2.199,0.129,507,28.098,3.457,0.203,744,41.209,2.320,0.136,507,28.098,3.457,0.203
5,16,2.0000000000000000000000000,1400,51.278,1.894,0.111,1093,40.031,2.426,0.143,905,33.149,2.930,0.172,1093,40.030,2.426,0.143
5,16,2.0000000000000000000000000,1047,46.533,2.087,0.123,751,33.385,2.909,0.171,1026,45.586,2.131,0.125,1037,46.070,2.108,0.124
