level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,12,1.0000000000000000000000000,622,35.118,2.766,0.213,358,19.653,4.811,0.370,341,19.248,5.046,0.388,415,23.413,4.148,0.319
5,12,1.0000000000000000000000000,459,23.802,3.758,0.289,406,22.860,4.249,0.327,329,17.058,5.244,0.403,347,20.008,4.964,0.382
5,12,1.0000000000000000000000000,687,25.748,3.813,0.293,504,19.520,5.143,0.396,615,23.058,4.212,0.324,513,19.219,5.054,0.389
5,12,1.0000000000000000000000000,456,26.416,3.677,0.283,346,20.031,4.849,0.373,331,19.153,5.071,0.390,346,20.031,4.849,0.373
5,12,1.0000000000000000000000000,808,29.601,3.281,0.252,562,20.607,4.713,0.363,481,17.623,5.553,0.427,562,20.594,4.716,0.363
5,12,1.0000000000000000000000000,844,30.082,3.229,0.248,612,21.811,4.453,0.343,655,23.340,4.161,0.320,612,21.805,4.454,0.343
5,12,1.0000000000000000000000000,585,21.420,4.534,0.349,463,16.949,5.730,0.441,462,16.913,5.743,0.442,522,19.112,5.082,0.391
5,12,1.0000000000000000000000000,592,30.822,3.151,0.242,345,17.949,5.411,0.416,382,19.909,4.878,0.375,356,18.522,5.244,0.403
5,12,1.0000000000000000000000000,551,32.220,2.833,0.218,338,21.027,4.915,0.378,356,20.800,4.670,0.359,360,21.037,4.617,0.355
5,12,1.0000000000000000000000000,981,32.999,2.943,0.226,623,20.959,4.634,0.356,624,20.988,4.628,0.356,514,17.294,5.616,0.432
