level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,8,1.0000000000000000000000000,2575,96.974,2.337,0.260,1831,68.969,3.286,0.365,1680,63.256,3.583,0.398,1925,72.494,3.211,0.357
6,8,1.0000000000000000000000000,1455,86.432,2.622,0.291,1067,63.418,3.880,0.431,1177,69.940,3.240,0.360,1102,65.502,3.460,0.384
6,8,1.0000000000000000000000000,1887,87.560,2.588,0.288,1467,68.045,3.331,0.370,1358,63.020,3.596,0.400,1348,62.519,3.625,0.403
6,8,1.0000000000000000000000000,1471,81.206,2.791,0.310,1083,59.796,3.790,0.421,1098,60.632,3.738,0.415,1148,63.384,3.575,0.397
6,8,1.0000000000000000000000000,1533,72.200,3.139,0.349,1475,69.460,3.263,0.363,1337,62.957,3.600,0.400,1387,65.323,3.469,0.385
6,8,1.0000000000000000000000000,2274,85.583,2.648,0.294,1982,74.583,3.039,0.338,1677,63.127,3.590,0.399,1813,68.224,3.322,0.369
6,8,1.0000000000000000000000000,1681,72.096,3.143,0.349,1394,59.772,3.791,0.421,1556,66.717,3.397,0.377,1554,66.646,3.400,0.378
6,8,1.0000000000000000000000000,1462,82.997,2.731,0.303,1282,72.762,3.115,0.346,1075,61.034,3.713,0.413,1081,61.356,3.694,0.410
6,8,1.0000000000000000000000000,1886,66.245,3.421,0.380,1797,63.119,3.590,0.399,1602,56.286,4.026,0.447,1731,60.825,3.726,0.414
6,8,1.0000000000000000000000000,1655,75.397,3.006,0.334,1305,59.429,3.813,0.424,1336,60.872,3.723,0.414,1193,54.352,4.170,0.463
