level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,12,2.0000000000000000000000000,791,36.178,2.685,0.207,944,43.218,2.247,0.173,834,38.179,2.544,0.196,944,43.218,2.247,0.173
5,12,2.0000000000000000000000000,1464,51.450,1.888,0.145,1280,44.967,2.160,0.166,890,31.292,3.104,0.239,985,34.599,2.807,0.216
5,12,2.0000000000000000000000000,1247,42.950,2.261,0.174,1019,35.079,2.769,0.213,1278,44.000,2.207,0.170,1188,40.926,2.373,0.183
5,12,2.0000000000000000000000000,1169,40.294,2.410,0.185,1307,45.050,2.156,0.166,1126,38.808,2.503,0.193,1143,39.391,2.466,0.190
5,12,2.0000000000000000000000000,956,57.287,1.695,0.130,677,40.574,2.394,0.184,527,31.572,3.076,0.237,677,40.562,2.394,0.184
5,12,2.0000000000000000000000000,1314,46.833,2.074,0.160,1371,47.502,1.987,0.153,1301,46.356,2.095,0.161,1205,42.931,2.262,0.174
5,12,2.0000000000000000000000000,1459,57.173,1.699,0.131,846,33.157,2.856,0.220,850,33.300,2.917,0.224,899,35.235,2.757,0.212
5,12,2.0000000000000000000000000,951,43.088,2.254,0.173,733,33.197,2.926,0.225,871,39.485,2.460,0.189,733,33.197,2.926,0.225
5,12,2.0000000000000000000000000,599,33.148,2.930,0.225,748,41.403,2.346,0.180,745,41.233,2.355,0.181,747,41.373,2.206,0.170
5,12,2.0000000000000000000000000,1366,44.373,2.392,0.184,1388,41.237,2.355,0.181,1402,41.658,2.331,0.179,1143,33.964,2.617,0.201
