level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,16,4.0000000000000000000000000,13798,451.125,1.148,0.068,11558,377.897,1.371,0.081,11219,366.802,1.412,0.083,10950,358.006,1.447,0.085
7,16,4.0000000000000000000000000,16283,541.394,0.957,0.056,10922,363.120,1.427,0.084,9535,317.024,1.634,0.096,9861,327.856,1.580,0.093
7,16,4.0000000000000000000000000,8913,450.218,1.151,0.068,8021,405.165,1.268,0.075,5951,300.597,1.723,0.101,8069,407.567,1.271,0.075
7,16,4.0000000000000000000000000,10012,493.806,1.049,0.062,7705,380.040,1.363,0.080,6382,314.778,1.646,0.097,7772,383.343,1.351,0.079
7,16,4.0000000000000000000000000,9723,389.307,1.331,0.078,8562,342.800,1.511,0.089,10060,402.791,1.286,0.076,10346,414.231,1.251,0.074
7,16,4.0000000000000000000000000,13700,504.582,1.027,0.060,9893,364.357,1.422,0.084,11217,413.106,1.254,0.074,7965,293.344,1.766,0.104
7,16,4.0000000000000000000000000,10895,399.070,1.298,0.076,9963,364.928,1.419,0.083,8218,301.007,1.721,0.101,7504,274.883,1.884,0.111
7,16,4.0000000000000000000000000,8605,514.125,1.008,0.059,5891,351.989,1.472,0.087,5887,351.750,1.473,0.087,4314,257.758,2.010,0.118
7,16,4.0000000000000000000000000,12186,520.781,0.995,0.059,6147,262.670,1.972,0.116,6478,276.840,1.871,0.110,6590,281.624,1.839,0.108
7,16,4.0000000000000000000000000,7661,456.019,1.136,0.067,4541,270.285,1.916,0.113,5854,348.457,1.487,0.087,5452,324.552,1.596,0.094
