level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,20,4.0000000000000000000000000,2545,104.495,0.929,0.044,1524,60.925,1.594,0.076,2001,82.156,1.182,0.056,2228,91.493,1.062,0.051
5,20,4.0000000000000000000000000,2676,103.176,0.941,0.045,1640,63.227,1.536,0.073,1716,66.174,1.468,0.070,2250,86.764,1.119,0.053
5,20,4.0000000000000000000000000,2577,99.250,0.983,0.047,1521,61.153,1.658,0.079,2133,82.148,1.182,0.056,2098,80.794,1.202,0.057
5,20,4.0000000000000000000000000,1863,75.311,1.289,0.061,1721,69.620,1.395,0.066,1846,74.671,1.301,0.062,1721,69.620,1.395,0.066
5,20,4.0000000000000000000000000,2304,79.274,1.225,0.058,2725,93.769,1.036,0.049,2621,90.203,1.077,0.051,2725,93.769,1.036,0.049
5,20,4.0000000000000000000000000,1666,94.226,1.031,0.049,1136,64.225,1.512,0.072,1480,83.658,1.161,0.055,1446,81.737,1.188,0.057
5,20,4.0000000000000000000000000,1717,74.953,1.296,0.062,1526,66.622,1.458,0.069,1909,83.329,1.166,0.056,1526,66.622,1.458,0.069
5,20,4.0000000000000000000000000,1854,92.556,1.033,0.049,1425,72.264,1.344,0.064,1540,78.073,1.244,0.059,1425,72.264,1.344,0.064
5,20,4.0000000000000000000000000,1204,80.040,1.213,0.058,1310,87.062,1.116,0.053,1420,94.372,1.029,0.049,1310,87.062,1.116,0.053
5,20,4.0000000000000000000000000,1290,78.969,1.230,0.059,1160,71.019,1.368,0.065,1478,90.503,1.073,0.051,1343,83.799,1.181,0.056
