level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,12,4.0000000000000000000000000,19152,670.895,0.772,0.059,11185,391.803,1.322,0.102,9343,327.281,1.583,0.122,11277,395.041,1.311,0.101
7,12,4.0000000000000000000000000,6833,396.674,1.306,0.100,6807,395.165,1.311,0.101,5665,328.870,1.575,0.121,6447,374.267,1.384,0.106
7,12,4.0000000000000000000000000,7511,417.952,1.239,0.095,6336,352.551,1.469,0.113,6287,349.856,1.481,0.114,6522,362.918,1.427,0.110
7,12,4.0000000000000000000000000,10274,461.369,1.123,0.086,7878,353.754,1.464,0.113,7294,327.521,1.582,0.122,8010,359.701,1.440,0.111
7,12,4.0000000000000000000000000,13401,489.782,1.058,0.081,10631,388.535,1.333,0.103,8716,318.540,1.626,0.125,10389,379.687,1.364,0.105
7,12,4.0000000000000000000000000,12454,604.753,0.857,0.066,7829,380.171,1.363,0.105,7876,382.439,1.354,0.104,8097,393.154,1.318,0.101
7,12,4.0000000000000000000000000,9675,428.026,1.210,0.093,7668,339.213,1.527,0.117,6948,307.390,1.685,0.130,8068,356.909,1.451,0.112
7,12,4.0000000000000000000000000,10590,507.696,1.020,0.078,7050,338.009,1.533,0.118,6942,332.831,1.556,0.120,7193,344.868,1.502,0.116
7,12,4.0000000000000000000000000,17179,623.484,0.831,0.064,8856,321.424,1.612,0.124,9372,340.143,1.523,0.117,9523,345.629,1.499,0.115
7,12,4.0000000000000000000000000,10509,557.441,0.929,0.071,6615,350.896,1.476,0.114,6449,342.094,1.514,0.116,5896,312.763,1.656,0.127
