level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,20,1.0000000000000000000000000,1238,50.338,4.502,0.214,1139,46.315,4.893,0.233,691,27.691,8.063,0.384,1139,46.290,4.896,0.233
6,20,1.0000000000000000000000000,1239,42.069,5.387,0.257,1194,40.534,5.591,0.266,980,33.269,6.812,0.324,1170,39.735,5.703,0.272
6,20,1.0000000000000000000000000,1289,60.219,3.763,0.179,789,36.841,6.049,0.288,883,41.246,5.495,0.262,724,33.803,6.704,0.319
6,20,1.0000000000000000000000000,965,62.384,3.633,0.173,471,30.431,7.447,0.355,630,40.696,5.569,0.265,471,30.431,7.447,0.355
6,20,1.0000000000000000000000000,719,46.370,4.887,0.233,627,40.444,5.603,0.267,702,45.270,5.006,0.238,701,45.234,5.010,0.239
6,20,1.0000000000000000000000000,1576,54.165,4.184,0.199,1115,38.326,5.913,0.282,1222,42.001,5.396,0.257,1195,41.063,5.519,0.263
6,20,1.0000000000000000000000000,1112,50.271,4.508,0.215,928,41.956,5.401,0.257,925,41.828,5.418,0.258,928,41.938,5.404,0.257
6,20,1.0000000000000000000000000,1107,53.030,4.274,0.204,835,39.992,5.667,0.270,985,47.167,4.805,0.229,835,39.992,5.667,0.270
6,20,1.0000000000000000000000000,1240,56.770,3.992,0.190,661,30.292,7.481,0.356,1034,47.353,4.786,0.228,661,30.292,7.481,0.356
6,20,1.0000000000000000000000000,807,44.017,5.149,0.245,548,29.878,7.585,0.361,833,45.425,4.989,0.238,548,29.878,7.585,0.361
