level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,16,4.0000000000000000000000000,6749,223.382,1.015,0.060,4959,164.132,1.381,0.081,4704,155.687,1.456,0.086,4644,153.719,1.474,0.087
6,16,4.0000000000000000000000000,4920,191.709,1.182,0.070,3734,145.510,1.557,0.092,3896,151.821,1.493,0.088,3182,123.965,1.828,0.108
6,16,4.0000000000000000000000000,6040,243.123,0.932,0.055,4372,175.995,1.288,0.076,2741,110.324,2.054,0.121,4586,184.605,1.218,0.072
6,16,4.0000000000000000000000000,4629,178.174,1.272,0.075,4626,178.036,1.273,0.075,4139,159.291,1.423,0.084,4901,188.649,1.201,0.071
6,16,4.0000000000000000000000000,3683,191.057,1.186,0.070,3099,160.775,1.420,0.084,3621,187.833,1.207,0.071,3099,160.774,1.410,0.083
6,16,4.0000000000000000000000000,2953,173.255,1.308,0.077,1985,116.431,1.946,0.114,3304,193.844,1.169,0.069,1985,116.431,1.946,0.114
6,16,4.0000000000000000000000000,4157,194.233,1.167,0.069,3606,168.474,1.345,0.079,3069,143.400,1.580,0.093,3606,168.474,1.345,0.079
6,16,4.0000000000000000000000000,3668,223.449,1.014,0.060,2094,127.608,1.776,0.104,2689,163.851,1.383,0.081,3045,185.512,1.222,0.072
6,16,4.0000000000000000000000000,3652,164.250,1.380,0.081,3890,174.962,1.295,0.076,2924,131.524,1.723,0.101,3692,166.067,1.365,0.080
6,16,4.0000000000000000000000000,4374,250.464,0.929,0.055,2574,143.528,1.579,0.093,2901,161.754,1.401,0.082,2574,143.559,1.579,0.093
