level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,8,0.2500000000000000000000000,200,13.024,7.427,0.825,212,13.853,7.011,0.779,183,11.923,8.146,0.905,165,10.758,9.028,1.003
5,8,0.2500000000000000000000000,384,14.034,6.921,0.769,304,11.108,8.744,0.972,298,10.901,8.910,0.990,300,10.983,8.843,0.983
5,8,0.2500000000000000000000000,283,14.648,6.631,0.737,217,11.246,9.006,1.001,214,11.110,8.742,0.971,221,11.460,8.475,0.942
5,8,0.2500000000000000000000000,315,13.680,7.181,0.798,255,10.951,8.869,0.985,249,10.691,9.085,1.009,236,10.125,9.593,1.066
5,8,0.2500000000000000000000000,407,14.829,6.550,0.728,296,10.789,9.002,1.000,285,10.405,9.334,1.037,406,14.820,6.554,0.728
5,8,0.2500000000000000000000000,293,11.175,8.613,0.957,287,10.955,8.866,0.985,259,9.858,9.853,1.095,267,10.160,9.559,1.062
5,8,0.2500000000000000000000000,283,12.750,7.618,0.846,403,18.182,5.342,0.594,237,10.679,9.095,1.011,266,11.981,8.107,0.901
5,8,0.2500000000000000000000000,336,12.696,7.650,0.850,312,11.784,8.242,0.916,286,10.793,8.999,1.000,296,11.158,8.705,0.967
5,8,0.2500000000000000000000000,290,13.229,7.342,0.816,217,9.904,9.807,1.090,217,9.883,9.827,1.092,220,10.036,9.677,1.075
5,8,0.2500000000000000000000000,330,12.156,7.119,0.791,256,9.414,10.317,1.146,251,9.233,10.519,1.169,256,9.432,10.297,1.144
