level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,8,1.0000000000000000000000000,533,17.420,2.187,0.243,410,14.218,2.846,0.316,338,11.732,3.450,0.383,402,13.966,2.898,0.322
4,8,1.0000000000000000000000000,315,15.475,2.615,0.291,303,14.871,2.721,0.302,286,14.073,2.866,0.318,279,13.728,2.948,0.328
4,8,1.0000000000000000000000000,246,14.684,2.756,0.306,256,15.274,2.650,0.294,188,11.178,3.620,0.402,277,16.496,2.453,0.273
4,8,1.0000000000000000000000000,321,19.593,2.065,0.229,198,12.099,3.345,0.372,238,14.523,2.786,0.310,260,15.865,2.551,0.283
4,8,1.0000000000000000000000000,467,17.729,2.283,0.254,348,13.213,3.063,0.340,350,13.199,3.066,0.341,384,14.598,2.772,0.308
4,8,1.0000000000000000000000000,513,19.470,2.097,0.233,289,10.862,3.726,0.414,385,14.498,2.791,0.310,289,10.862,3.692,0.410
4,8,1.0000000000000000000000000,289,17.182,2.355,0.262,188,11.200,3.613,0.401,170,10.138,3.992,0.444,197,11.737,3.448,0.383
4,8,1.0000000000000000000000000,360,16.532,2.378,0.264,265,12.534,3.244,0.360,293,13.845,2.923,0.325,221,10.440,3.876,0.431
4,8,1.0000000000000000000000000,457,14.704,2.752,0.306,400,12.881,3.142,0.349,399,12.834,3.153,0.350,406,13.058,3.099,0.344
4,8,1.0000000000000000000000000,248,13.462,3.006,0.334,202,10.962,3.692,0.410,178,9.652,4.193,0.466,218,11.806,3.428,0.381
