level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,12,0.2500000000000000000000000,689,44.512,11.637,0.895,722,46.667,11.100,0.854,594,38.388,13.860,1.066,665,42.969,12.055,0.927
7,12,0.2500000000000000000000000,1201,45.810,11.307,0.870,1266,48.282,10.729,0.825,1103,42.079,12.310,0.947,1026,39.111,13.244,1.019
7,12,0.2500000000000000000000000,1014,56.443,9.177,0.706,813,45.261,11.445,0.880,733,40.786,12.700,0.977,766,42.610,12.157,0.935
7,12,0.2500000000000000000000000,1190,52.602,9.848,0.758,865,38.243,13.545,1.042,871,38.500,13.455,1.035,919,40.594,12.760,0.982
7,12,0.2500000000000000000000000,1508,55.113,9.399,0.723,1185,43.297,11.964,0.920,1046,38.216,13.554,1.043,1150,42.012,12.330,0.948
7,12,0.2500000000000000000000000,746,49.885,10.384,0.799,611,40.897,12.666,0.974,622,41.634,12.442,0.957,632,42.251,12.260,0.943
7,12,0.2500000000000000000000000,997,44.103,11.745,0.903,817,36.159,14.325,1.102,959,42.419,12.211,0.939,827,36.580,14.161,1.089
7,12,0.2500000000000000000000000,942,54.504,9.504,0.731,791,45.750,11.322,0.871,676,39.119,13.242,1.019,711,41.121,12.597,0.969
7,12,0.2500000000000000000000000,872,53.226,10.355,0.797,655,37.574,13.786,1.060,667,38.259,13.539,1.041,665,38.164,13.573,1.044
7,12,0.2500000000000000000000000,873,46.282,11.192,0.861,775,41.125,12.596,0.969,657,34.857,14.861,1.143,698,37.012,13.995,1.077
