level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,8,4.0000000000000000000000000,697,44.724,0.905,0.101,748,47.989,0.843,0.094,698,44.828,0.903,0.100,1007,64.625,0.626,0.070
4,8,4.0000000000000000000000000,1293,63.520,0.637,0.071,1031,50.679,0.799,0.089,1085,53.305,0.824,0.092,1058,51.984,0.778,0.086
4,8,4.0000000000000000000000000,1222,54.507,0.759,0.084,1220,54.425,0.744,0.083,940,41.935,0.965,0.107,1252,55.872,0.724,0.080
4,8,4.0000000000000000000000000,1699,55.830,0.725,0.081,1598,52.516,0.771,0.086,1451,47.682,0.839,0.093,1434,47.117,0.859,0.095
4,8,4.0000000000000000000000000,799,50.618,0.799,0.089,906,57.404,0.705,0.078,868,55.023,0.735,0.082,636,40.331,1.003,0.111
4,8,4.0000000000000000000000000,1009,60.216,0.672,0.075,810,48.360,0.837,0.093,936,55.876,0.724,0.080,711,42.448,0.953,0.106
4,8,4.0000000000000000000000000,1282,54.787,0.739,0.082,1185,50.640,0.799,0.089,1123,47.980,0.843,0.094,1020,43.586,0.928,0.103
4,8,4.0000000000000000000000000,1095,51.621,0.784,0.087,785,36.995,1.094,0.122,1129,53.244,0.760,0.084,841,39.674,1.020,0.113
4,8,4.0000000000000000000000000,1732,58.458,0.692,0.077,1452,48.993,0.826,0.092,1640,55.336,0.687,0.076,1471,49.647,0.815,0.091
4,8,4.0000000000000000000000000,741,40.156,1.008,0.112,691,37.478,1.080,0.120,677,36.730,1.102,0.122,786,49.114,0.949,0.105
