level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,16,0.2500000000000000000000000,1216,44.172,11.377,0.669,838,31.369,16.513,0.971,876,32.811,15.787,0.929,887,33.227,15.590,0.917
7,16,0.2500000000000000000000000,848,44.210,11.717,0.689,567,29.580,17.512,1.030,570,29.720,17.429,1.025,582,30.349,17.068,1.004
7,16,0.2500000000000000000000000,1320,44.359,11.677,0.687,963,32.386,15.994,0.941,899,30.215,17.144,1.008,939,31.209,16.418,0.966
7,16,0.2500000000000000000000000,1108,37.335,13.874,0.816,934,31.485,16.452,0.968,833,28.091,18.440,1.085,913,30.783,16.827,0.990
7,16,0.2500000000000000000000000,962,38.501,13.454,0.791,802,32.099,17.113,1.007,794,31.785,16.297,0.959,755,30.236,17.132,1.008
7,16,0.2500000000000000000000000,1077,39.679,13.055,0.768,812,29.894,17.328,1.019,798,29.394,17.623,1.037,825,30.399,17.040,1.002
7,16,0.2500000000000000000000000,1080,39.565,13.092,0.770,853,31.236,16.584,0.976,793,29.049,17.832,1.049,751,27.515,18.826,1.107
7,16,0.2500000000000000000000000,657,39.231,13.204,0.777,515,30.778,16.830,0.990,494,29.491,17.565,1.033,503,30.034,17.247,1.015
7,16,0.2500000000000000000000000,1023,38.137,13.583,0.799,788,29.365,17.640,1.038,852,31.741,16.319,0.960,835,31.102,16.655,0.980
7,16,0.2500000000000000000000000,654,38.909,13.313,0.783,474,28.240,18.342,1.079,485,28.855,17.952,1.056,513,30.543,16.960,0.998
