level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,20,4.0000000000000000000000000,4596,225.215,1.006,0.048,2995,144.432,1.544,0.074,3347,163.989,1.419,0.068,3729,182.704,1.240,0.059
6,20,4.0000000000000000000000000,5725,232.444,0.975,0.046,3923,159.297,1.423,0.068,3035,123.234,1.929,0.092,3846,156.169,1.451,0.069
6,20,4.0000000000000000000000000,4338,228.239,0.993,0.047,2748,144.598,1.567,0.075,3116,163.954,1.382,0.066,2524,132.817,1.706,0.081
6,20,4.0000000000000000000000000,3174,162.286,1.396,0.066,3420,174.828,1.296,0.062,3165,161.824,1.400,0.067,2340,119.630,1.894,0.090
6,20,4.0000000000000000000000000,5425,197.066,1.150,0.055,4389,159.410,1.422,0.068,4957,180.068,1.259,0.060,4913,178.475,1.270,0.060
6,20,4.0000000000000000000000000,5622,193.245,1.173,0.056,4381,150.572,1.505,0.072,4858,166.971,1.357,0.065,5337,183.434,1.235,0.059
6,20,4.0000000000000000000000000,4187,177.642,1.276,0.061,3902,165.578,1.369,0.065,3920,166.330,1.362,0.065,3902,165.560,1.369,0.065
6,20,4.0000000000000000000000000,5301,185.001,1.225,0.058,4506,157.244,1.441,0.069,5379,187.721,1.207,0.057,4506,157.244,1.441,0.069
6,20,4.0000000000000000000000000,4479,149.953,1.511,0.072,3544,118.643,1.910,0.091,5628,188.410,1.203,0.057,3544,118.643,1.910,0.091
6,20,4.0000000000000000000000000,4031,141.571,1.601,0.076,3330,116.959,1.938,0.092,5143,180.659,1.254,0.060,3330,116.958,1.938,0.092
