level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,16,1.0000000000000000000000000,1152,53.311,4.366,0.257,902,41.751,5.428,0.319,846,39.166,5.786,0.340,770,35.634,6.360,0.374
6,16,1.0000000000000000000000000,2053,73.558,3.081,0.181,1038,37.200,6.092,0.358,1067,38.234,5.927,0.349,1088,38.963,5.811,0.342
6,16,1.0000000000000000000000000,1094,44.040,5.146,0.303,1112,44.760,5.063,0.298,877,35.319,6.416,0.377,1167,46.972,4.825,0.284
6,16,1.0000000000000000000000000,1484,67.724,3.346,0.197,874,39.858,5.686,0.334,846,37.749,5.872,0.345,991,45.206,5.013,0.295
6,16,1.0000000000000000000000000,1442,53.955,4.200,0.247,1095,40.969,5.532,0.325,1261,47.196,4.802,0.282,1095,40.967,5.532,0.325
6,16,1.0000000000000000000000000,1082,65.983,3.466,0.204,532,32.430,6.988,0.411,799,48.723,4.651,0.274,519,31.673,7.155,0.421
6,16,1.0000000000000000000000000,810,42.696,5.308,0.312,811,42.762,5.300,0.312,685,36.093,6.279,0.369,811,42.762,5.300,0.312
6,16,1.0000000000000000000000000,1136,42.854,5.288,0.311,883,33.314,6.803,0.400,1092,41.209,5.499,0.323,1250,47.169,4.804,0.283
6,16,1.0000000000000000000000000,1561,55.609,4.075,0.240,1250,44.512,5.091,0.299,1215,43.289,5.235,0.308,1163,41.466,5.469,0.322
6,16,1.0000000000000000000000000,1440,54.691,4.144,0.244,962,36.550,6.200,0.365,1072,40.699,5.568,0.328,963,36.581,6.195,0.364
