level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,12,4.0000000000000000000000000,3066,130.183,0.746,0.057,1475,62.634,1.551,0.119,2163,91.876,1.057,0.081,2019,85.759,1.133,0.087
5,12,4.0000000000000000000000000,2274,99.549,0.976,0.075,2138,93.624,1.037,0.080,2086,91.331,1.063,0.082,1565,68.516,1.418,0.109
5,12,4.0000000000000000000000000,3097,101.584,0.956,0.074,2113,69.315,1.401,0.108,2774,91.001,1.067,0.082,2077,68.139,1.425,0.110
5,12,4.0000000000000000000000000,1824,108.484,0.895,0.069,1313,78.110,1.243,0.096,1299,77.281,1.257,0.097,1313,78.110,1.243,0.096
5,12,4.0000000000000000000000000,1547,57.826,1.680,0.129,2154,80.510,1.206,0.093,1832,68.487,1.418,0.109,2153,80.498,1.207,0.093
5,12,4.0000000000000000000000000,1940,87.180,1.114,0.086,1896,85.190,1.140,0.088,2056,92.387,1.051,0.081,1896,85.184,1.288,0.099
5,12,4.0000000000000000000000000,1369,82.154,1.174,0.090,1105,66.309,1.465,0.113,1104,66.270,1.466,0.113,1115,66.902,1.452,0.112
5,12,4.0000000000000000000000000,1662,79.030,1.229,0.095,1381,65.653,1.479,0.114,1654,78.636,1.235,0.095,1381,65.653,1.479,0.114
5,12,4.0000000000000000000000000,1247,72.853,1.333,0.103,1320,82.089,1.259,0.097,1405,82.101,1.183,0.091,1404,82.046,1.184,0.091
5,12,4.0000000000000000000000000,2515,84.594,1.148,0.088,2432,81.793,1.187,0.091,2468,82.998,1.170,0.090,2001,67.304,1.443,0.111
