level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,8,2.0000000000000000000000000,3859,159.761,1.419,0.158,2897,119.912,1.948,0.216,2654,109.880,2.062,0.229,2993,123.897,1.829,0.203
6,8,2.0000000000000000000000000,2901,144.310,1.570,0.174,2485,123.649,1.833,0.204,2586,128.656,1.761,0.196,2427,120.747,1.877,0.209
6,8,2.0000000000000000000000000,2770,147.795,1.533,0.170,2288,122.105,1.856,0.206,2073,110.613,2.049,0.228,2357,125.753,1.802,0.200
6,8,2.0000000000000000000000000,2137,123.213,1.839,0.204,2056,118.548,1.912,0.212,1835,105.763,2.143,0.238,1900,109.545,2.069,0.230
6,8,2.0000000000000000000000000,4411,144.385,1.570,0.174,4448,145.608,1.556,0.173,3380,110.649,2.048,0.228,3622,118.562,1.911,0.212
6,8,2.0000000000000000000000000,4033,135.827,1.668,0.185,4759,160.285,1.414,0.157,3371,113.526,1.996,0.222,3675,123.758,1.831,0.203
6,8,2.0000000000000000000000000,3023,129.613,1.748,0.194,2692,115.427,1.963,0.218,2614,112.103,2.022,0.225,2603,111.603,2.031,0.226
6,8,2.0000000000000000000000000,3445,149.979,1.511,0.168,2892,125.938,1.799,0.200,2530,110.167,2.057,0.229,2638,114.852,1.973,0.219
6,8,2.0000000000000000000000000,3971,141.621,1.600,0.178,3026,107.937,2.100,0.233,3085,110.016,1.936,0.215,3365,111.050,1.888,0.210
6,8,2.0000000000000000000000000,3441,156.759,1.446,0.161,2201,100.265,2.260,0.251,2353,107.186,2.114,0.235,2173,99.004,2.289,0.254
